sentence	mood	prob
Either the well was very deep, or she fell very slowly, for she had plenty of time as she went down to look about her and to wonder what was going to happen next.	neutral	[0.6948935  0.0195929  0.04391093 0.12613192 0.09768783 0.01778295]
First, she tried to look down and make out what she was coming to, but it was too dark to see anything; then she looked at the sides of the well, and noticed that they were filled with cupboards and book-shelves; here and there she saw maps and pictures hung upon pegs.	neutral	[0.8482892  0.02211162 0.03611977 0.03548089 0.04975678 0.00824166]
She took down a jar from one of the shelves as she passed; it was labelled 'ORANGE MARMALADE', but to her great disappointment it was empty: she did not like to drop the jar for fear of killing somebody, so managed to put it into one of the cupboards as she fell past it.	neutral	[0.5197474  0.02853716 0.12967905 0.05506856 0.16361317 0.1033547 ]
'Well!'	happy	"[4.2003274e-01 5.5133182e-01 2.2430629e-02 1.0833377e-03 5.2270776e-04
 4.5987540e-03]"
thought Alice to herself, 'after such a fall as this, I shall think nothing of tumbling down stairs!	neutral	[0.7954592  0.04215956 0.06214407 0.01955522 0.06148105 0.01920079]
How brave they'll all think me at home!	neutral	[0.4231165  0.36635754 0.12083354 0.02422689 0.01697744 0.04848811]
Why, I wouldn't say anything about it, even if I fell off the top of the house!'	neutral	[0.43104926 0.03735746 0.1783578  0.00810764 0.04380793 0.30131996]
(Which was very likely true.)	neutral	[0.8204698  0.07748009 0.03289111 0.03075848 0.01627159 0.02212896]
Down, down, down.	neutral	[0.6614213  0.01607199 0.1083244  0.01671586 0.06761644 0.12984996]
Would the fall NEVER come to an end!	neutral	[0.54957795 0.04763168 0.15582019 0.04954794 0.11263439 0.08478779]
'I wonder how many miles I've fallen by this time?'	neutral	[0.9010189  0.01049506 0.04769947 0.00186894 0.00916613 0.02975149]
she said aloud.	neutral	[0.67137516 0.07863148 0.08016314 0.05827117 0.04749231 0.06406675]
'I must be getting somewhere near the centre of the earth.	neutral	[0.9440027  0.025843   0.0080776  0.00235844 0.00216922 0.01754913]
Let me see: that would be four thousand miles down, I think--' (for, you see, Alice had learnt several things of this sort in her lessons in the schoolroom, and though this was not a VERY good opportunity for showing off her knowledge, as there was no one to listen to her, still it was good practice to say it over) '--yes, that's about the right distance--but then I wonder what Latitude or Longitude I've got to?'	neutral	"[9.7968948e-01 3.0677898e-03 2.8082160e-03 9.3363802e-04 1.8308830e-03
 1.1670037e-02]"
(Alice had no idea what Latitude was, or Longitude either, but thought they were nice grand words to say.)	neutral	"[9.7421074e-01 2.5167452e-02 2.1607129e-04 3.3248976e-04 2.1881215e-05
 5.1369319e-05]"
Presently she began again.	neutral	[0.82159436 0.04955986 0.05273611 0.01288156 0.0206393  0.0425888 ]
'I wonder if I shall fall right THROUGH the earth!	neutral	[0.41751575 0.031686   0.15639636 0.0628896  0.2774634  0.05404879]
How funny it'll seem to come out among the people that walk with their heads downward!	neutral	[0.728295   0.05519643 0.14018412 0.00359558 0.02876734 0.04396151]
The Antipathies, I think--' (she was rather glad there WAS no one listening, this time, as it didn't sound at all the right word) '--but I shall have to ask them what the name of the country is, you know.	neutral	[0.7410851  0.07422621 0.07215767 0.02485852 0.03317411 0.05449842]
Please, Ma'am, is this New Zealand or Australia?'	neutral	"[9.6483052e-01 2.7205205e-02 4.7965790e-03 1.1106809e-03 5.3726952e-04
 1.5198627e-03]"
(and she tried to curtsey as she spoke--fancy CURTSEYING as you're falling through the air!	neutral	[0.45587614 0.12413187 0.14312673 0.04408066 0.11575495 0.11702956]
Do you think you could manage it?)	neutral	[0.9322769  0.00864775 0.02950474 0.00207512 0.02484388 0.0026516 ]
'And what an ignorant little girl she'll think me for asking!	neutral	[0.5848049  0.18316028 0.08930586 0.04208088 0.03648485 0.0641632 ]
No, it'll never do to ask: perhaps I shall see it written up somewhere.'	neutral	"[9.9119651e-01 6.8835746e-03 1.2327494e-03 4.8585280e-05 1.4792378e-04
 4.9068505e-04]"
Down, down, down.	neutral	[0.7289421  0.01422638 0.01594165 0.13258357 0.04107753 0.06722878]
There was nothing else to do, so Alice soon began talking again.	neutral	[0.92718995 0.03739356 0.00581772 0.00096728 0.00129155 0.02733991]
'Dinah'll miss me very much to-night, I should think!'	neutral	[0.6018238  0.13670188 0.03009568 0.17656709 0.03635864 0.01845291]
(Dinah was the cat.)	neutral	[0.92473096 0.03767334 0.00803813 0.01400677 0.00415964 0.0113912 ]
'I hope they'll remember her saucer of milk at tea-time.	neutral	"[8.9632767e-01 6.2231444e-02 3.6492035e-02 3.0331989e-03 1.3395876e-03
 5.7602499e-04]"
Dinah my dear!	happy	[0.3074107  0.32459876 0.13767955 0.06996694 0.08367365 0.07667046]
I wish you were down here with me!	sad	[0.20896623 0.06844331 0.04032336 0.49243313 0.15509827 0.03473581]
There are no mice in the air, I'm afraid, but you might catch a bat, and that's very like a mouse, you know.	neutral	[0.8905844  0.01109229 0.03228762 0.00301498 0.01950216 0.04351853]
But do cats eat bats, I wonder?'	neutral	[0.8214937  0.01512926 0.04470262 0.01337541 0.04461611 0.06068292]
And here Alice began to get rather sleepy, and went on saying to herself, in a dreamy sort of way, 'Do cats eat bats?	neutral	[0.9317753  0.02800215 0.02756075 0.00238721 0.00744081 0.00283376]
Do cats eat bats?'	neutral	"[9.3589348e-01 1.4205317e-02 2.2262879e-02 7.6419237e-04 3.5490016e-03
 2.3325125e-02]"
and sometimes, 'Do bats eat cats?'	neutral	[0.931291   0.01289131 0.03712831 0.00293267 0.01470746 0.00104931]
for, you see, as she couldn't answer either question, it didn't much matter which way she put it.	neutral	[0.97499245 0.00562646 0.00423279 0.00437185 0.00155591 0.00922051]
She felt that she was dozing off, and had just begun to dream that she was walking hand in hand with Dinah, and saying to her very earnestly, 'Now, Dinah, tell me the truth: did you ever eat a bat?'	neutral	[0.69825804 0.0259702  0.08774161 0.0156583  0.067807   0.10456491]
when suddenly, thump!	surprised	[0.32479504 0.03581531 0.34726965 0.01240908 0.25167662 0.02803425]
thump!	neutral	[0.4625744  0.02875962 0.18560112 0.01389054 0.04916702 0.26000732]
down she came upon a heap of sticks and dry leaves, and the fall was over.	neutral	[0.660605   0.03149813 0.00307223 0.28638172 0.00758485 0.01085814]
Alice was not a bit hurt, and she jumped up on to her feet in a moment: she looked up, but it was all dark overhead; before her was another long passage, and the White Rabbit was still in sight, hurrying down it.	neutral	[0.5756824  0.03636191 0.15005341 0.04204476 0.12221651 0.07364098]
There was not a moment to be lost: away went Alice like the wind, and was just in time to hear it say, as it turned a corner, 'Oh my ears and whiskers, how late it's getting!'	neutral	[0.45404226 0.00729647 0.35583085 0.00225142 0.17029732 0.0102816 ]
She was close behind it when she turned the corner, but the Rabbit was no longer to be seen: she found herself in a long, low hall, which was lit up by a row of lamps hanging from the roof.	neutral	[0.92746806 0.00540912 0.0300826  0.00872853 0.0249077  0.00340406]
There were doors all round the hall, but they were all locked; and when Alice had been all the way down one side and up the other, trying every door, she walked sadly down the middle, wondering how she was ever to get out again.	neutral	[0.73129773 0.06005374 0.07342802 0.01765791 0.02673941 0.0908232 ]
Suddenly she came upon a little three-legged table, all made of solid glass; there was nothing on it except a tiny golden key, and Alice's first thought was that it might belong to one of the doors of the hall; but, alas!	neutral	"[9.0062523e-01 7.5742733e-03 4.4050973e-02 7.6679871e-03 3.9480120e-02
 6.0144061e-04]"
either the locks were too large, or the key was too small, but at any rate it would not open any of them.	neutral	[0.9334389  0.00826463 0.01940811 0.00255322 0.01294137 0.02339384]
However, on the second time round, she came upon a low curtain she had not noticed before, and behind it was a little door about fifteen inches high: she tried the little golden key in the lock, and to her great delight it fitted!	neutral	[0.5669723  0.06206083 0.33875307 0.00381585 0.02531603 0.00308192]
Alice opened the door and found that it led into a small passage, not much larger than a rat-hole: she knelt down and looked along the passage into the loveliest garden you ever saw.	neutral	[0.70782167 0.11447675 0.01754932 0.13609001 0.01451198 0.00955033]
How she longed to get out of that dark hall, and wander about among those beds of bright flowers and those cool fountains, but she could not even get her head through the doorway; 'and even if my head would go through,' thought poor Alice, 'it would be of very little use without my shoulders.	neutral	[0.45542005 0.26315078 0.10617242 0.11569612 0.03850064 0.02106006]
Oh, how I wish I could shut up like a telescope!	neutral	[0.5944598  0.03434382 0.03102214 0.18923163 0.14393155 0.00701109]
I think I could, if I only knew how to begin.'	neutral	"[7.9468507e-01 2.0221490e-01 1.2627236e-03 1.6815807e-03 2.7787071e-05
 1.2801583e-04]"
For, you see, so many out-of-the-way things had happened lately, that Alice had begun to think that very few things indeed were really impossible.	neutral	[0.7656593  0.0943162  0.0348639  0.04086517 0.02343077 0.0408647 ]
There seemed to be no use in waiting by the little door, so she went back to the table, half hoping she might find another key on it, or at any rate a book of rules for shutting people up like telescopes: this time she found a little bottle on it, ('which certainly was not here before,' said Alice,) and round the neck of the bottle was a paper label, with the words 'DRINK ME' beautifully printed on it in large letters.	neutral	"[9.4353592e-01 5.2733787e-05 1.7693339e-02 9.6794989e-05 3.8369097e-02
 2.5198460e-04]"
It was all very well to say 'Drink me,' but the wise little Alice was not going to do THAT in a hurry.	neutral	[0.78302634 0.043067   0.04281113 0.05418697 0.03905462 0.03785399]
"'No, I'll look first,' she said, 'and see whether it's marked ""poison"" or not'; for she had read several nice little histories about children who had got burnt, and eaten up by wild beasts and other unpleasant things, all because they WOULD not remember the simple rules their friends had taught them: such as, that a red-hot poker will burn you if you hold it too long; and that if you cut your finger VERY deeply with a knife, it usually bleeds; and she had never forgotten that, if you drink much from a bottle marked 'poison,' it is almost certain to disagree with you, sooner or later."	neutral	[0.6752726  0.04377656 0.09108709 0.01849636 0.13257955 0.03878787]
However, this bottle was NOT marked 'poison,' so Alice ventured to taste it, and finding it very nice, (it had, in fact, a sort of mixed flavour of cherry-tart, custard, pine-apple, roast turkey, toffee, and hot buttered toast,) she very soon finished it off.	neutral	"[7.0644635e-01 2.8534213e-01 6.6476287e-03 1.3540498e-03 2.0734946e-05
 1.8913868e-04]"
*    *    *    *    *    *    *  *    *    *    *    *    *  *    *    *    *    *    *    *  'What a curious feeling!'	happy	"[3.54890190e-02 9.64018345e-01 2.78113061e-04 2.12189101e-04
 1.14203175e-07 2.25941358e-06]"
said Alice; 'I must be shutting up like a telescope.'	neutral	[0.69795513 0.08678608 0.07849737 0.02931938 0.05462694 0.05281511]
And so it was indeed: she was now only ten inches high, and her face brightened up at the thought that she was now the right size for going through the little door into that lovely garden.	neutral	"[5.4837751e-01 4.2601201e-01 5.9361523e-03 1.9089470e-02 3.1032658e-04
 2.7453792e-04]"
First, however, she waited for a few minutes to see if she was going to shrink any further: she felt a little nervous about this; 'for it might end, you know,' said Alice to herself, 'in my going out altogether, like a candle.	neutral	[0.80201405 0.02019555 0.01700974 0.13032739 0.02796243 0.00249091]
I wonder what I should be like then?'	neutral	[0.8768319  0.06093279 0.01701227 0.01344766 0.0139922  0.01778305]
And she tried to fancy what the flame of a candle is like after the candle is blown out, for she could not remember ever having seen such a thing.	neutral	[0.473338   0.04723293 0.2778171  0.02068383 0.1101445  0.07078358]
After a while, finding that nothing more happened, she decided on going into the garden at once; but, alas for poor Alice!	sad	[0.3272019  0.05038365 0.01895397 0.44053346 0.08657493 0.07635202]
when she got to the door, she found she had forgotten the little golden key, and when she went back to the table for it, she found she could not possibly reach it: she could see it quite plainly through the glass, and she tried her best to climb up one of the legs of the table, but it was too slippery; and when she had tired herself out with trying, the poor little thing sat down and cried.	scary	[0.3380634  0.02261383 0.23544283 0.04821215 0.33938015 0.01628764]
'Come, there's no use in crying like that!'	sad	[0.12710755 0.01907244 0.052958   0.49891245 0.19486068 0.10708886]
said Alice to herself, rather sharply; 'I advise you to leave off this minute!'	angry	[0.3238634  0.03115497 0.0921074  0.01754695 0.01756313 0.5177642 ]
She generally gave herself very good advice, (though she very seldom followed it), and sometimes she scolded herself so severely as to bring tears into her eyes; and once she remembered trying to box her own ears for having cheated herself in a game of croquet she was playing against herself, for this curious child was very fond of pretending to be two people.	angry	"[1.3453890e-02 3.5446192e-04 1.7660062e-03 1.8511947e-03 1.4749746e-04
 9.8242688e-01]"
'But it's no use now,' thought poor Alice, 'to pretend to be two people!	neutral	[0.52109987 0.34929964 0.04795067 0.04013387 0.0110051  0.03051088]
Why, there's hardly enough of me left to make ONE respectable person!'	neutral	[0.65384626 0.15307377 0.07215515 0.03157891 0.02029561 0.06905039]
Soon her eye fell on a little glass box that was lying under the table: she opened it, and found in it a very small cake, on which the words 'EAT ME' were beautifully marked in currants.	neutral	[0.75113845 0.08662929 0.04636719 0.05910863 0.03227043 0.02448602]
'Well, I'll eat it,' said Alice, 'and if it makes me grow larger, I can reach the key; and if it makes me grow smaller, I can creep under the door; so either way I'll get into the garden, and I don't care which happens!'	neutral	[0.8911381  0.06516717 0.0294612  0.00531905 0.00611554 0.00279894]
She ate a little bit, and said anxiously to herself, 'Which way?	neutral	[0.8410869  0.11264065 0.02934176 0.00380307 0.00351068 0.00961695]
Which way?	neutral	"[9.7452050e-01 9.8214822e-04 8.0582658e-03 8.9379447e-03 6.9134566e-03
 5.8761233e-04]"
', holding her hand on the top of her head to feel which way it was growing, and she was quite surprised to find that she remained the same size: to be sure, this generally happens when one eats cake, but Alice had got so much into the way of expecting nothing but out-of-the-way things to happen, that it seemed quite dull and stupid for life to go on in the common way.	neutral	"[5.8189398e-01 3.8048652e-01 3.3838362e-02 7.2893576e-04 3.4258954e-04
 2.7095741e-03]"
So she set to work, and very soon finished off the cake.	neutral	"[6.8086952e-01 3.1218562e-01 6.1146761e-03 1.7864529e-04 4.9238010e-05
 6.0230261e-04]"
*    *    *    *    *    *    *  *    *    *    *    *    *  *    *    *    *    *    *    *     CHAPTER II.	neutral	"[7.2738791e-01 2.6792920e-01 3.2596539e-03 1.3821725e-03 2.3400371e-05
 1.7657647e-05]"
The Pool of Tears  'Curiouser and curiouser!'	surprised	[0.21640436 0.17781329 0.2314311  0.12378163 0.15996341 0.09060623]
cried Alice (she was so much surprised, that for the moment she quite forgot how to speak good English); 'now I'm opening out like the largest telescope that ever was!	surprised	[0.23613149 0.08673533 0.5656458  0.00418095 0.08432534 0.02298114]
Good-bye, feet!'	neutral	[0.5697652  0.05503432 0.0702569  0.01699893 0.01942285 0.2685218 ]
(for when she looked down at her feet, they seemed to be almost out of sight, they were getting so far off).	neutral	[0.57389057 0.01788692 0.06838813 0.07843921 0.24326827 0.01812689]
'Oh, my poor little feet, I wonder who will put on your shoes and stockings for you now, dears?	neutral	[0.50460935 0.23961899 0.030556   0.16513743 0.01417252 0.04590566]
I'm sure _I_ shan't be able!	neutral	[0.7443763  0.02820737 0.08398088 0.03268779 0.06425361 0.04649399]
I shall be a great deal too far off to trouble myself about you: you must manage the best way you can;--but I must be kind to them,' thought Alice, 'or perhaps they won't walk the way I want to go!	neutral	[0.47226202 0.00770627 0.11577426 0.03994768 0.13012351 0.23418622]
Let me see: I'll give them a new pair of boots every Christmas.'	neutral	"[8.0735582e-01 1.7467496e-01 1.0623260e-02 1.3946644e-03 6.4673426e-04
 5.3045205e-03]"
And she went on planning to herself how she would manage it.	neutral	[0.9017867  0.05112996 0.00409616 0.02206352 0.00245534 0.01846843]
'They must go by the carrier,' she thought; 'and how funny it'll seem, sending presents to one's own feet!	neutral	[0.76980674 0.16190265 0.04080607 0.01325471 0.00616685 0.008063  ]
And how odd the directions will look!	angry	[0.25302425 0.032308   0.24136989 0.029995   0.10475541 0.33854744]
ALICE'S RIGHT FOOT, ESQ.	neutral	"[5.8547425e-01 2.6599509e-03 3.6863186e-03 3.0748281e-04 9.1384910e-04
 4.0695810e-01]"
HEARTHRUG, NEAR THE FENDER, (WITH ALICE'S LOVE).	neutral	[0.90079314 0.05258326 0.01885973 0.0050678  0.00507332 0.01762275]
Oh dear, what nonsense I'm talking!'	neutral	[0.31898105 0.29941604 0.27599844 0.01149679 0.04373871 0.05036903]
Just then her head struck against the roof of the hall: in fact she was now more than nine feet high, and she at once took up the little golden key and hurried off to the garden door.	neutral	[0.43239686 0.05970618 0.22867788 0.01937554 0.07998301 0.17986049]
Poor Alice!	neutral	[0.29295462 0.02149608 0.27220488 0.03881102 0.2560817  0.11845171]
It was as much as she could do, lying down on one side, to look through into the garden with one eye; but to get through was more hopeless than ever: she sat down and began to cry again.	sad	[0.07494601 0.10669141 0.03304106 0.6385267  0.1031666  0.04362825]
'You ought to be ashamed of yourself,' said Alice, 'a great girl like you,' (she might well say this), 'to go on crying in this way!	angry	[0.26618934 0.12886283 0.09076787 0.12497605 0.03138127 0.35782272]
Stop this moment, I tell you!'	neutral	[0.7674465  0.02386122 0.05506304 0.00679943 0.02706304 0.1197667 ]
But she went on all the same, shedding gallons of tears, until there was a large pool all round her, about four inches deep and reaching half down the hall.	sad	[0.23453644 0.09543445 0.07395799 0.35606083 0.10398749 0.13602278]
After a time she heard a little pattering of feet in the distance, and she hastily dried her eyes to see what was coming.	neutral	[0.45131868 0.0384477  0.14921242 0.10238779 0.20418827 0.05444516]
It was the White Rabbit returning, splendidly dressed, with a pair of white kid gloves in one hand and a large fan in the other: he came trotting along in a great hurry, muttering to himself as he came, 'Oh!	neutral	"[7.5897157e-01 2.2979373e-01 6.6515915e-03 3.2635834e-03 3.2935818e-04
 9.9014561e-04]"
the Duchess, the Duchess!	happy	[0.39888278 0.46070877 0.10361052 0.00380459 0.00780399 0.02518939]
Oh!	neutral	[0.5849997  0.06874933 0.10643979 0.05534056 0.10425064 0.08021998]
won't she be savage if I've kept her waiting!'	neutral	[0.37386858 0.09415423 0.2010595  0.05613689 0.17745075 0.09733003]
Alice felt so desperate that she was ready to ask help of any one; so, when the Rabbit came near her, she began, in a low, timid voice, 'If you please, sir--' The Rabbit started violently, dropped the white kid gloves and the fan, and skurried away into the darkness as hard as he could go.	scary	[0.22128753 0.00637722 0.15387401 0.01527353 0.6012677  0.00191998]
Alice took up the fan and gloves, and, as the hall was very hot, she kept fanning herself all the time she went on talking: 'Dear, dear!	neutral	[0.5205044  0.34358463 0.0268782  0.09687125 0.00817703 0.00398447]
How queer everything is to-day!	neutral	[0.23490079 0.1138693  0.19216977 0.1299438  0.20932786 0.11978852]
And yesterday things went on just as usual.	neutral	"[8.2139224e-01 1.7301570e-01 2.4765509e-03 4.9571210e-04 3.1846230e-05
 2.5879820e-03]"
I wonder if I've been changed in the night?	neutral	[0.7237931  0.00884205 0.06744251 0.03470389 0.15011518 0.01510328]
Let me think: was I the same when I got up this morning?	neutral	[0.9222719  0.01880693 0.03152856 0.00158762 0.00746197 0.01834296]
I almost think I can remember feeling a little different.	neutral	[0.82448417 0.09555406 0.03837353 0.01469313 0.01081497 0.01608008]
But if I'm not the same, the next question is, Who in the world am I?	neutral	[0.8385046  0.01321974 0.07374526 0.00525831 0.03216891 0.03710311]
Ah, THAT'S the great puzzle!'	neutral	[0.5093568  0.4107495  0.05075939 0.01021932 0.00317843 0.01573656]
And she began thinking over all the children she knew that were of the same age as herself, to see if she could have been changed for any of them.	neutral	[0.96367323 0.01571098 0.00601303 0.0105161  0.00240937 0.00167733]
'I'm sure I'm not Ada,' she said, 'for her hair goes in such long ringlets, and mine doesn't go in ringlets at all; and I'm sure I can't be Mabel, for I know all sorts of things, and she, oh!	happy	[0.36530912 0.5800134  0.03409968 0.00808722 0.00598162 0.00650894]
she knows such a very little!	neutral	[0.30201748 0.02150353 0.24658747 0.03497397 0.13022637 0.2646911 ]
Besides, SHE'S she, and I'm I, and--oh dear, how puzzling it all is!	neutral	[0.39122903 0.36685392 0.15741774 0.01989267 0.03944952 0.02515704]
I'll try if I know all the things I used to know.	neutral	"[9.7487223e-01 9.0879956e-03 7.9057587e-04 1.0131379e-02 1.0837761e-03
 4.0339157e-03]"
Let me see: four times five is twelve, and four times six is thirteen, and four times seven is--oh dear!	neutral	[0.5952338  0.10159933 0.19566056 0.01085894 0.06368314 0.03296426]
I shall never get to twenty at that rate!	sad	[0.2513364  0.08493029 0.070039   0.35325223 0.1853689  0.05507317]
However, the Multiplication Table doesn't signify: let's try Geography.	neutral	"[9.6649164e-01 2.8165152e-02 3.7327097e-03 4.5979238e-04 1.0157958e-04
 1.0491230e-03]"
London is the capital of Paris, and Paris is the capital of Rome, and Rome--no, THAT'S all wrong, I'm certain!	neutral	[0.70814943 0.07216995 0.15837614 0.00227264 0.02898337 0.03004838]
I must have been changed for Mabel!	neutral	[0.4243218  0.26358932 0.21419463 0.01367189 0.05390005 0.03032225]
"I'll try and say ""How doth the little--""' and she crossed her hands on her lap as if she were saying lessons, and began to repeat it, but her voice sounded hoarse and strange, and the words did not come the same as they used to do:--  'How doth the little crocodile Improve his shining tail, And pour the waters of the Nile On every golden scale!"	happy	[0.3356233  0.4479461  0.10866601 0.04297849 0.02640633 0.03837972]
'How cheerfully he seems to grin, How neatly spread his claws, And welcome little fishes in With gently smiling jaws!'	happy	"[1.3941782e-02 9.7782558e-01 8.0283638e-03 1.3578481e-04 4.0922652e-05
 2.7655846e-05]"
'I'm sure those are not the right words,' said poor Alice, and her eyes filled with tears again as she went on, 'I must be Mabel after all, and I shall have to go and live in that poky little house, and have next to no toys to play with, and oh!	sad	"[7.0406301e-03 7.4592166e-02 6.5991248e-04 9.0715528e-01 1.7940829e-03
 8.7580122e-03]"
ever so many lessons to learn!	neutral	[0.40322343 0.08670027 0.23132487 0.03816899 0.21330178 0.02728074]
No, I've made up my mind about it; if I'm Mabel, I'll stay down here!	neutral	[0.5862632  0.08676117 0.08797084 0.03087687 0.02979452 0.17833334]
"It'll be no use their putting their heads down and saying ""Come up again, dear!"""	neutral	[0.49289113 0.03078368 0.12145367 0.01380026 0.0715024  0.2695689 ]
"I shall only look up and say ""Who am I then?"	neutral	[0.66739905 0.05583764 0.08369531 0.03852411 0.06067935 0.09386452]
"Tell me that first, and then, if I like being that person, I'll come up: if not, I'll stay down here till I'm somebody else""--but, oh dear!'"	neutral	"[8.42369258e-01 1.01962656e-01 4.98153567e-02 1.05309708e-04
 1.05350744e-03 4.69390163e-03]"
cried Alice, with a sudden burst of tears, 'I do wish they WOULD put their heads down!	happy	[0.2647767  0.3157553  0.0605962  0.21320583 0.06636982 0.07929615]
I am so VERY tired of being all alone here!'	sad	[0.1010032  0.3176537  0.03527566 0.45292425 0.0250255  0.06811774]
As she said this she looked down at her hands, and was surprised to see that she had put on one of the Rabbit's little white kid gloves while she was talking.	neutral	[0.80224997 0.05425264 0.05528833 0.02131932 0.03293937 0.03395031]
'How CAN I have done that?'	neutral	[0.67828315 0.02538622 0.07209924 0.03503933 0.0875614  0.10163062]
she thought.	neutral	[0.8495045  0.02703459 0.04180632 0.01987238 0.02295672 0.0388255 ]
'I must be growing small again.'	neutral	[0.5585733  0.30425623 0.03332387 0.05489875 0.01109527 0.03785262]
She got up and went to the table to measure herself by it, and found that, as nearly as she could guess, she was now about two feet high, and was going on shrinking rapidly: she soon found out that the cause of this was the fan she was holding, and she dropped it hastily, just in time to avoid shrinking away altogether.	scary	[0.19203207 0.01118641 0.2841978  0.01927088 0.47746703 0.01584581]
'That WAS a narrow escape!'	neutral	[0.43237662 0.20935258 0.17069413 0.0351506  0.07314626 0.07927983]
said Alice, a good deal frightened at the sudden change, but very glad to find herself still in existence; 'and now for the garden!'	neutral	[0.68799007 0.2183152  0.05975294 0.01066319 0.00915648 0.01412214]
and she ran with all speed back to the little door: but, alas!	surprised	[0.27007818 0.2590824  0.33713287 0.00964945 0.09620455 0.02785261]
the little door was shut again, and the little golden key was lying on the glass table as before, 'and things are worse than ever,' thought the poor child, 'for I never was so small as this before, never!	happy	[0.31839687 0.40536097 0.03343168 0.20260997 0.02272965 0.01747079]
And I declare it's too bad, that it is!'	happy	[0.22661954 0.59290946 0.09357452 0.04225934 0.01544315 0.02919403]
As she said these words her foot slipped, and in another moment, splash!	happy	[0.13679355 0.24746062 0.23857617 0.07450053 0.18876404 0.1139051 ]
she was up to her chin in salt water.	neutral	[0.35887703 0.04101271 0.11504085 0.20118593 0.2255492  0.05833425]
Her first idea was that she had somehow fallen into the sea, 'and in that case I can go back by railway,' she said to herself.	neutral	[0.91632336 0.02724815 0.03263001 0.00558789 0.01553271 0.00267782]
(Alice had been to the seaside once in her life, and had come to the general conclusion, that wherever you go to on the English coast you find a number of bathing machines in the sea, some children digging in the sand with wooden spades, then a row of lodging houses, and behind them a railway station.)	neutral	[0.9188822  0.0095599  0.01911432 0.00929482 0.03478557 0.00836332]
However, she soon made out that she was in the pool of tears which she had wept when she was nine feet high.	neutral	[0.6494256  0.08639006 0.0844379  0.0751205  0.06552455 0.03910143]
'I wish I hadn't cried so much!'	sad	[0.26434085 0.19666338 0.02266776 0.451633   0.0570591  0.00763591]
said Alice, as she swam about, trying to find her way out.	scary	[0.25081056 0.0152066  0.3076455  0.03068225 0.38016212 0.01549292]
'I shall be punished for it now, I suppose, by being drowned in my own tears!	sad	[0.15611716 0.01977048 0.02839722 0.5811413  0.1893307  0.02524314]
That WILL be a queer thing, to be sure!	neutral	[0.61017734 0.10468275 0.1130273  0.02694669 0.05568854 0.08947735]
