sentence	mood_roberta	prob_roberta	mood_word	prob_word
Let me see: that would be four thousand miles down, I think--' (for, you see, Alice had learnt several things of this sort in her lessons in the schoolroom, and though this was not a VERY good opportunity for showing off her knowledge, as there was no one to listen to her, still it was good practice to say it over) '--yes, that's about the right distance--but then I wonder what Latitude or Longitude I've got to?'	neutral	[0.94198173 0.04133155 0.01150206 0.00155524 0.0016104  0.00201911]	happy	[0.         0.18520884 0.16638068 0.17134557 0.17371792 0.15513083]
(Alice had no idea what Latitude was, or Longitude either, but thought they were nice grand words to say.)	neutral	"[8.9660859e-01 1.0044161e-01 1.7361552e-03 4.3165989e-04 4.1814157e-05
 7.4025808e-04]"	scary	[0.         0.16623901 0.17039903 0.16684363 0.17612875 0.17184713]
Presently she began again.	neutral	[0.7323153  0.09237926 0.05329328 0.04352844 0.02220702 0.05627671]	neutral	[0. 0. 0. 0. 0. 0.]
'I wonder if I shall fall right THROUGH the earth!	neutral	[0.7927199  0.02409214 0.05717954 0.04180026 0.07208719 0.01212098]	surprised	[0.         0.16492886 0.1825935  0.16825549 0.16987689 0.16205297]
How funny it'll seem to come out among the people that walk with their heads downward!	neutral	[0.8771208  0.00531676 0.06611318 0.00116735 0.03096515 0.01931683]	neutral	[0. 0. 0. 0. 0. 0.]
The Antipathies, I think--' (she was rather glad there WAS no one listening, this time, as it didn't sound at all the right word) '--but I shall have to ask them what the name of the country is, you know.	neutral	[0.58530587 0.04763928 0.23955232 0.00604056 0.0678587  0.05360331]	happy	[0.         0.18968164 0.17157057 0.17391054 0.16212223 0.16025424]
Please, Ma'am, is this New Zealand or Australia?'	neutral	[0.8239515  0.12297956 0.03899415 0.00428994 0.00378335 0.00600159]	neutral	[0. 0. 0. 0. 0. 0.]
(and she tried to curtsey as she spoke--fancy CURTSEYING as you're falling through the air!	neutral	[0.5674521  0.02209647 0.15596427 0.02180756 0.11840077 0.1142788 ]	scary	[0.         0.16729793 0.15988436 0.16739133 0.17602654 0.15971724]
Do you think you could manage it?)	neutral	[0.8789384  0.00416436 0.04009555 0.00703646 0.06358548 0.00617976]	happy	[0.         0.17910155 0.1653805  0.16165764 0.16933731 0.15914711]
'And what an ignorant little girl she'll think me for asking!	neutral	[0.59766406 0.18661301 0.10578303 0.02085795 0.02521968 0.06386226]	angry	[0.         0.15458748 0.16264188 0.18204082 0.16404903 0.19118601]
No, it'll never do to ask: perhaps I shall see it written up somewhere.'	neutral	[0.9213391  0.04590345 0.02562434 0.00113762 0.00245035 0.00354524]	neutral	[0. 0. 0. 0. 0. 0.]
Down, down, down.	neutral	[0.64723516 0.01101285 0.01445811 0.21593255 0.09217954 0.01918169]	surprised	[0.         0.16129479 0.17368367 0.15603386 0.16956906 0.15832392]
There was nothing else to do, so Alice soon began talking again.	neutral	[0.9290649  0.00773344 0.00870167 0.00327764 0.00897697 0.04224534]	neutral	[0. 0. 0. 0. 0. 0.]
'Dinah'll miss me very much to-night, I should think!'	neutral	[0.44996434 0.22476378 0.03424026 0.22423221 0.02431555 0.04248378]	sad	[0.         0.17174654 0.17469387 0.17520069 0.16729785 0.16468281]
(Dinah was the cat.)	neutral	[0.96114564 0.01819473 0.0047306  0.01122008 0.00210431 0.00260473]	neutral	[0. 0. 0. 0. 0. 0.]
'I hope they'll remember her saucer of milk at tea-time.	neutral	"[9.7475672e-01 2.1007806e-02 4.8489659e-04 3.2226797e-03 2.3508072e-04
 2.9278875e-04]"	happy	[0.         0.19948858 0.16836423 0.18199893 0.15665658 0.15549826]
Dinah my dear!	neutral	[0.43378577 0.1596975  0.06883188 0.22459814 0.07680705 0.03627974]	neutral	[0. 0. 0. 0. 0. 0.]
I wish you were down here with me!	neutral	[0.35127327 0.23021296 0.12961526 0.12782952 0.10555514 0.05551388]	surprised	[0.         0.16129479 0.17368367 0.15603386 0.16956906 0.15832392]
There are no mice in the air, I'm afraid, but you might catch a bat, and that's very like a mouse, you know.	neutral	[0.91632307 0.00412898 0.03923516 0.00170804 0.02996805 0.00863658]	scary	[0.         0.17570372 0.17280447 0.16839081 0.1787984  0.16626072]
But do cats eat bats, I wonder?'	neutral	"[9.6486402e-01 1.0655602e-02 5.9966724e-03 8.0060743e-04 1.8362745e-03
 1.5846744e-02]"	surprised	[0.         0.16813182 0.18756341 0.17353605 0.1657967  0.17118055]
And here Alice began to get rather sleepy, and went on saying to herself, in a dreamy sort of way, 'Do cats eat bats?	neutral	[0.91739124 0.01144581 0.00996691 0.01137231 0.02850409 0.02131968]	neutral	[0. 0. 0. 0. 0. 0.]
Do cats eat bats?'	neutral	"[9.1759646e-01 1.6723298e-03 2.5566675e-02 2.0139154e-04 2.0527508e-02
 3.4435712e-02]"	neutral	[0. 0. 0. 0. 0. 0.]
and sometimes, 'Do bats eat cats?'	neutral	[0.9589399  0.00132519 0.01837757 0.00267485 0.01656694 0.00211559]	neutral	[0. 0. 0. 0. 0. 0.]
for, you see, as she couldn't answer either question, it didn't much matter which way she put it.	neutral	[0.97106665 0.00536793 0.00199429 0.00428858 0.00126245 0.01601996]	sad	[0.         0.17171427 0.17512271 0.1803969  0.16179366 0.15613394]
She felt that she was dozing off, and had just begun to dream that she was walking hand in hand with Dinah, and saying to her very earnestly, 'Now, Dinah, tell me the truth: did you ever eat a bat?'	neutral	[0.67985135 0.04563143 0.1106569  0.02822913 0.08458536 0.05104586]	scary	[0.         0.17035279 0.16400484 0.17752353 0.1775974  0.16295594]
when suddenly, thump!	neutral	[0.36233366 0.01328943 0.22874248 0.01928175 0.3507378  0.0256148 ]	scary	[0.         0.16075285 0.17160269 0.16412094 0.18069534 0.1737422 ]
thump!	neutral	[0.47156587 0.03799936 0.2422126  0.00278162 0.03402876 0.21141177]	scary	[0.         0.1656639  0.17033049 0.16393584 0.18022024 0.16776024]
down she came upon a heap of sticks and dry leaves, and the fall was over.	neutral	[0.67147434 0.05722373 0.01907269 0.1963804  0.04903937 0.00680945]	surprised	[0.         0.16127913 0.17542322 0.15928692 0.17152048 0.15559633]
Alice was not a bit hurt, and she jumped up on to her feet in a moment: she looked up, but it was all dark overhead; before her was another long passage, and the White Rabbit was still in sight, hurrying down it.	neutral	[0.65050215 0.00644399 0.13945834 0.00855044 0.18923327 0.00581185]	scary	[0.         0.1652599  0.1620463  0.16902758 0.17492693 0.16610391]
There was not a moment to be lost: away went Alice like the wind, and was just in time to hear it say, as it turned a corner, 'Oh my ears and whiskers, how late it's getting!'	neutral	[0.52250814 0.02141179 0.20631434 0.01800343 0.21578936 0.01597293]	scary	[0.         0.16943639 0.16759174 0.1680947  0.17305145 0.16471222]
She was close behind it when she turned the corner, but the Rabbit was no longer to be seen: she found herself in a long, low hall, which was lit up by a row of lamps hanging from the roof.	neutral	"[9.4794476e-01 1.2020257e-02 2.1425245e-02 4.2444472e-03 1.3540985e-02
 8.2413747e-04]"	happy	[0.         0.17443194 0.16449889 0.17005332 0.16940666 0.16256558]
There were doors all round the hall, but they were all locked; and when Alice had been all the way down one side and up the other, trying every door, she walked sadly down the middle, wondering how she was ever to get out again.	neutral	[0.6813401  0.1055382  0.04954102 0.08656121 0.04094619 0.03607335]	sad	[0.         0.16482625 0.1685076  0.1787021  0.17035148 0.15586488]
Suddenly she came upon a little three-legged table, all made of solid glass; there was nothing on it except a tiny golden key, and Alice's first thought was that it might belong to one of the doors of the hall; but, alas!	neutral	[0.72122324 0.15487921 0.09928248 0.00765647 0.01100058 0.00595801]	scary	[0.         0.16856667 0.17343113 0.17256979 0.17997459 0.16227028]
either the locks were too large, or the key was too small, but at any rate it would not open any of them.	neutral	[0.7997844  0.0033354  0.05285313 0.00546227 0.13216078 0.00640386]	neutral	[0. 0. 0. 0. 0. 0.]
However, on the second time round, she came upon a low curtain she had not noticed before, and behind it was a little door about fifteen inches high: she tried the little golden key in the lock, and to her great delight it fitted!	neutral	[0.80588967 0.137445   0.02309028 0.01717249 0.00690689 0.00949564]	happy	[0.         0.18378592 0.17357574 0.16713509 0.16436556 0.16460554]
Alice opened the door and found that it led into a small passage, not much larger than a rat-hole: she knelt down and looked along the passage into the loveliest garden you ever saw.	neutral	[0.52779233 0.3282859  0.03409412 0.0821206  0.01016196 0.01754506]	surprised	[0.         0.16514672 0.17195744 0.16166023 0.16933868 0.16199671]
How she longed to get out of that dark hall, and wander about among those beds of bright flowers and those cool fountains, but she could not even get her head through the doorway; 'and even if my head would go through,' thought poor Alice, 'it would be of very little use without my shoulders.	neutral	[0.47472277 0.23544444 0.05147946 0.2007358  0.027978   0.00963954]	scary	[0.         0.16679056 0.16315988 0.17438591 0.18137074 0.16257288]
Oh, how I wish I could shut up like a telescope!	sad	[0.23738632 0.02526344 0.04044235 0.44261587 0.22466718 0.02962496]	scary	[0.         0.1767076  0.16446669 0.1745861  0.19195565 0.15195123]
I think I could, if I only knew how to begin.'	neutral	[0.68582916 0.20673162 0.00352402 0.10123102 0.00082238 0.00186188]	neutral	[0. 0. 0. 0. 0. 0.]
For, you see, so many out-of-the-way things had happened lately, that Alice had begun to think that very few things indeed were really impossible.	neutral	[0.7929974  0.01382815 0.05048297 0.01027989 0.0530175  0.07939402]	scary	[0.         0.16698778 0.16781854 0.1683511  0.17750693 0.15798697]
There seemed to be no use in waiting by the little door, so she went back to the table, half hoping she might find another key on it, or at any rate a book of rules for shutting people up like telescopes: this time she found a little bottle on it, ('which certainly was not here before,' said Alice,) and round the neck of the bottle was a paper label, with the words 'DRINK ME' beautifully printed on it in large letters.	neutral	"[9.9522889e-01 1.1453783e-03 2.9131803e-03 2.9096027e-05 6.4314360e-04
 4.0275274e-05]"	happy	[0.         0.17272781 0.16745454 0.16887551 0.17045741 0.16621549]
It was all very well to say 'Drink me,' but the wise little Alice was not going to do THAT in a hurry.	neutral	[0.8627545  0.03384624 0.02345201 0.01082329 0.01588229 0.05324167]	happy	[0.         0.18256629 0.17817303 0.16040713 0.16165573 0.17496596]
"'No, I'll look first,' she said, 'and see whether it's marked ""poison"" or not'; for she had read several nice little histories about children who had got burnt, and eaten up by wild beasts and other unpleasant things, all because they WOULD not remember the simple rules their friends had taught them: such as, that a red-hot poker will burn you if you hold it too long; and that if you cut your finger VERY deeply with a knife, it usually bleeds; and she had never forgotten that, if you drink much from a bottle marked 'poison,' it is almost certain to disagree with you, sooner or later."	neutral	[0.75063896 0.0096438  0.08341749 0.01833566 0.10840629 0.0295577 ]	scary	[0.         0.16862044 0.16193517 0.17217781 0.17469781 0.17039306]
However, this bottle was NOT marked 'poison,' so Alice ventured to taste it, and finding it very nice, (it had, in fact, a sort of mixed flavour of cherry-tart, custard, pine-apple, roast turkey, toffee, and hot buttered toast,) she very soon finished it off.	neutral	[0.7683102  0.17681167 0.03378503 0.01234477 0.00331054 0.00543782]	happy	[0.         0.17142798 0.161969   0.16991714 0.17085023 0.16895101]
*    *    *    *    *    *    *  *    *    *    *    *    *  *    *    *    *    *    *    *  'What a curious feeling!'	happy	"[2.5178128e-01 7.3229104e-01 1.1441868e-02 3.9578876e-03 1.0592462e-04
 4.2188045e-04]"	surprised	[0.         0.17757651 0.17901484 0.17414267 0.17100117 0.17051171]
said Alice; 'I must be shutting up like a telescope.'	neutral	[0.91854525 0.00377495 0.01703798 0.01698462 0.0321973  0.01145993]	scary	[0.         0.1767076  0.16446669 0.1745861  0.19195565 0.15195123]
And so it was indeed: she was now only ten inches high, and her face brightened up at the thought that she was now the right size for going through the little door into that lovely garden.	happy	[0.18995044 0.7009667  0.03136159 0.0665647  0.00559467 0.00556184]	scary	[0.         0.1768659  0.16773055 0.17446118 0.1785183  0.15656933]
First, however, she waited for a few minutes to see if she was going to shrink any further: she felt a little nervous about this; 'for it might end, you know,' said Alice to herself, 'in my going out altogether, like a candle.	neutral	[0.85024595 0.01569294 0.04489018 0.01689115 0.06739743 0.00488232]	scary	[0.         0.17030218 0.17041435 0.16859774 0.1786879  0.16333977]
I wonder what I should be like then?'	neutral	"[7.9174685e-01 1.8840872e-01 1.2389487e-02 2.3499816e-03 6.3025538e-04
 4.4746711e-03]"	scary	[0.         0.17257996 0.17585343 0.17427596 0.1786184  0.1614794 ]
And she tried to fancy what the flame of a candle is like after the candle is blown out, for she could not remember ever having seen such a thing.	neutral	[0.50747335 0.1317808  0.10708561 0.09315372 0.10079532 0.05971115]	sad	[0.         0.174078   0.16452152 0.17645407 0.17460188 0.15617627]
After a while, finding that nothing more happened, she decided on going into the garden at once; but, alas for poor Alice!	neutral	[0.49904096 0.04468081 0.23770261 0.01954198 0.14800788 0.05102577]	sad	[0.         0.17291288 0.16501053 0.18144635 0.17167179 0.15699743]
when she got to the door, she found she had forgotten the little golden key, and when she went back to the table for it, she found she could not possibly reach it: she could see it quite plainly through the glass, and she tried her best to climb up one of the legs of the table, but it was too slippery; and when she had tired herself out with trying, the poor little thing sat down and cried.	neutral	[0.32421997 0.17279223 0.13305995 0.15886149 0.13522023 0.07584608]	surprised	[0.         0.16582481 0.17131131 0.16965436 0.17048742 0.16556612]
'Come, there's no use in crying like that!'	neutral	[0.25492173 0.15296109 0.15081494 0.17502695 0.14405133 0.12222388]	scary	[0.         0.17411169 0.16254382 0.17760669 0.17839592 0.17171068]
said Alice to herself, rather sharply; 'I advise you to leave off this minute!'	neutral	[0.6417192  0.04302403 0.10221902 0.01591669 0.07106182 0.12605925]	happy	[0.         0.17090677 0.16843273 0.17077098 0.15930722 0.16656027]
She generally gave herself very good advice, (though she very seldom followed it), and sometimes she scolded herself so severely as to bring tears into her eyes; and once she remembered trying to box her own ears for having cheated herself in a game of croquet she was playing against herself, for this curious child was very fond of pretending to be two people.	neutral	[0.6489799  0.01585668 0.00897779 0.0048416  0.00134126 0.32000276]	happy	[0.         0.17699186 0.16659424 0.16953466 0.17455311 0.1639376 ]
'But it's no use now,' thought poor Alice, 'to pretend to be two people!	neutral	[0.66677487 0.24060875 0.00886007 0.07355936 0.00314645 0.00705053]	scary	[0.         0.17271636 0.18426224 0.16105939 0.185584   0.15855301]
Why, there's hardly enough of me left to make ONE respectable person!'	neutral	[0.6021799  0.05621323 0.0845637  0.04114842 0.05404721 0.16184762]	happy	[0.         0.18379074 0.16541101 0.16600555 0.16967421 0.1487287 ]
Soon her eye fell on a little glass box that was lying under the table: she opened it, and found in it a very small cake, on which the words 'EAT ME' were beautifully marked in currants.	neutral	[0.7775105  0.07357419 0.05018963 0.0169209  0.02309563 0.05870914]	surprised	[0.         0.16190535 0.16904313 0.16845436 0.16689053 0.16871864]
'Well, I'll eat it,' said Alice, 'and if it makes me grow larger, I can reach the key; and if it makes me grow smaller, I can creep under the door; so either way I'll get into the garden, and I don't care which happens!'	neutral	"[9.6220124e-01 3.0576121e-02 1.9344564e-03 4.7128578e-03 3.6683248e-04
 2.0844502e-04]"	scary	[0.         0.16917502 0.1684586  0.16698328 0.17018124 0.16329501]
She ate a little bit, and said anxiously to herself, 'Which way?	neutral	[0.6230989  0.25995204 0.00660497 0.10451889 0.00461175 0.00121342]	neutral	[0. 0. 0. 0. 0. 0.]
Which way?	neutral	[0.8126243  0.00834524 0.07606334 0.00699658 0.07807709 0.0178935 ]	neutral	[0. 0. 0. 0. 0. 0.]
', holding her hand on the top of her head to feel which way it was growing, and she was quite surprised to find that she remained the same size: to be sure, this generally happens when one eats cake, but Alice had got so much into the way of expecting nothing but out-of-the-way things to happen, that it seemed quite dull and stupid for life to go on in the common way.	happy	"[3.9461029e-01 5.8738810e-01 7.6038386e-03 9.9538313e-03 9.3979339e-05
 3.4994353e-04]"	surprised	[0.         0.17534309 0.1840486  0.16796507 0.17097215 0.15639418]
So she set to work, and very soon finished off the cake.	neutral	"[5.8746970e-01 3.9017612e-01 1.9324396e-02 4.4839171e-04 1.4396981e-04
 2.4374463e-03]"	neutral	[0. 0. 0. 0. 0. 0.]
*    *    *    *    *    *    *  *    *    *    *    *    *  *    *    *    *    *    *    *     CHAPTER II.	happy	"[3.8217437e-01 6.1562634e-01 2.1379876e-03 5.8970341e-05 2.2625774e-07
 2.1173569e-06]"	neutral	[0. 0. 0. 0. 0. 0.]
The Pool of Tears  'Curiouser and curiouser!'	happy	[0.10983213 0.5915463  0.14124337 0.06096243 0.05653921 0.03987654]	neutral	[0. 0. 0. 0. 0. 0.]
cried Alice (she was so much surprised, that for the moment she quite forgot how to speak good English); 'now I'm opening out like the largest telescope that ever was!	happy	"[2.5227129e-01 5.6826544e-01 1.7574103e-01 5.4154260e-04 2.5947853e-03
 5.8600301e-04]"	surprised	[0.         0.1811446  0.18650826 0.17113607 0.16991564 0.16001888]
Good-bye, feet!'	neutral	[0.51580906 0.1198941  0.13478737 0.00738034 0.0248807  0.19724844]	neutral	[0. 0. 0. 0. 0. 0.]
(for when she looked down at her feet, they seemed to be almost out of sight, they were getting so far off).	neutral	[0.60033923 0.0288937  0.17661318 0.02449162 0.15005161 0.01961062]	surprised	[0.         0.16129479 0.17368367 0.15603386 0.16956906 0.15832392]
'Oh, my poor little feet, I wonder who will put on your shoes and stockings for you now, dears?	neutral	[0.5111635  0.2524854  0.01438176 0.18344474 0.01228738 0.02623728]	surprised	[0.         0.16813182 0.18756341 0.17353605 0.1657967  0.17118055]
I'm sure _I_ shan't be able!	neutral	[0.68906474 0.03303628 0.06172438 0.0734451  0.11554124 0.02718819]	neutral	[0. 0. 0. 0. 0. 0.]
I shall be a great deal too far off to trouble myself about you: you must manage the best way you can;--but I must be kind to them,' thought Alice, 'or perhaps they won't walk the way I want to go!	neutral	[0.6572155  0.07038444 0.07332606 0.04571962 0.05865725 0.09469707]	scary	[0.         0.17531993 0.17032192 0.16574264 0.17750998 0.1595767 ]
Let me see: I'll give them a new pair of boots every Christmas.'	neutral	"[6.6277659e-01 3.3567131e-01 1.3003943e-03 2.2064903e-04 4.8088077e-06
 2.6230809e-05]"	sad	[0.         0.17858379 0.15015198 0.1823276  0.17056006 0.15830445]
And she went on planning to herself how she would manage it.	neutral	[0.82293326 0.02251877 0.04344209 0.0232434  0.04566755 0.04219491]	happy	[0.         0.18040024 0.16736417 0.16379856 0.16845341 0.15999795]
'They must go by the carrier,' she thought; 'and how funny it'll seem, sending presents to one's own feet!	neutral	[0.46321762 0.36996183 0.1433201  0.00637043 0.00831571 0.00881432]	scary	[0.         0.16904088 0.17060047 0.16915542 0.18780229 0.15526618]
And how odd the directions will look!	neutral	[0.52278316 0.09634739 0.23110199 0.01260163 0.07790539 0.05926038]	neutral	[0. 0. 0. 0. 0. 0.]
ALICE'S RIGHT FOOT, ESQ.	neutral	[0.79838425 0.01120969 0.03021592 0.01489627 0.06318344 0.08211049]	neutral	[0. 0. 0. 0. 0. 0.]
HEARTHRUG, NEAR THE FENDER, (WITH ALICE'S LOVE).	neutral	[0.841245   0.098136   0.02670761 0.01925274 0.00866718 0.00599154]	happy	[0.         0.17939751 0.16173693 0.17438737 0.1702074  0.16783171]
Oh dear, what nonsense I'm talking!'	happy	[0.15299363 0.53436786 0.21398032 0.02869285 0.03251642 0.0374489 ]	scary	[0.         0.15962512 0.1600144  0.17330151 0.17737674 0.16740319]
Just then her head struck against the roof of the hall: in fact she was now more than nine feet high, and she at once took up the little golden key and hurried off to the garden door.	surprised	[0.24949025 0.15563817 0.29947707 0.05241433 0.15866922 0.084311  ]	sad	[0.         0.16760909 0.16764675 0.17232241 0.16417807 0.17214031]
Poor Alice!	neutral	[0.35524952 0.00658038 0.03908665 0.21640277 0.35385534 0.0288253 ]	neutral	[0. 0. 0. 0. 0. 0.]
It was as much as she could do, lying down on one side, to look through into the garden with one eye; but to get through was more hopeless than ever: she sat down and began to cry again.	sad	"[2.9270485e-02 3.4267369e-03 6.0596391e-05 9.6374696e-01 3.2399157e-03
 2.5531015e-04]"	sad	[0.         0.16453938 0.16412043 0.17139972 0.16923733 0.16967283]
'You ought to be ashamed of yourself,' said Alice, 'a great girl like you,' (she might well say this), 'to go on crying in this way!	angry	[0.13904764 0.10737962 0.17758964 0.11793212 0.13163589 0.32641512]	sad	[0.         0.17466808 0.16674057 0.1810172  0.16822487 0.17410913]
Stop this moment, I tell you!'	neutral	[0.5774705  0.03073734 0.14551042 0.02945567 0.08094332 0.13588275]	neutral	[0. 0. 0. 0. 0. 0.]
But she went on all the same, shedding gallons of tears, until there was a large pool all round her, about four inches deep and reaching half down the hall.	surprised	[0.13360566 0.05965386 0.29051682 0.12575574 0.24510024 0.14536765]	surprised	[0.         0.16129479 0.17368367 0.15603386 0.16956906 0.15832392]
After a time she heard a little pattering of feet in the distance, and she hastily dried her eyes to see what was coming.	neutral	[0.5322141  0.01508857 0.1329111  0.00939983 0.30316517 0.00722116]	happy	[0.         0.18213884 0.16671369 0.16934051 0.17740489 0.1587527 ]
It was the White Rabbit returning, splendidly dressed, with a pair of white kid gloves in one hand and a large fan in the other: he came trotting along in a great hurry, muttering to himself as he came, 'Oh!	neutral	[0.7288031  0.21690077 0.02910741 0.0184042  0.00383977 0.00294478]	angry	[0.         0.1696028  0.16334219 0.16787202 0.17167333 0.17436512]
the Duchess, the Duchess!	neutral	[0.5398658  0.1777538  0.14772414 0.02958811 0.04621311 0.05885506]	neutral	[0. 0. 0. 0. 0. 0.]
Oh!	neutral	[0.4823397  0.12574813 0.23748313 0.01902343 0.06120716 0.0741985 ]	neutral	[0. 0. 0. 0. 0. 0.]
won't she be savage if I've kept her waiting!'	neutral	[0.31955355 0.02943835 0.15547822 0.12612583 0.1996288  0.16977525]	angry	[0.         0.16645525 0.1658275  0.17052026 0.17411423 0.18030989]
