title	genre	scene	script	msd_tag	jamendo_tag	link
The Wolf of Wall Street	['Biography', 'Crime', 'Drama']	Jordan and Donnie go to Italy. They get a phone call informing them Steve Madden is unloading shares.	recall anything about this thieft man IPO. It's.. I think it's odd. Do you recall? Carnage Cooperation? You do, you do recall it? No I don't recall that at all. Excuse me, I have to ask, is that your real hair? Are you gonna say anything about that? Will you never comment on my hair, is that how we're doing? I just asking about that. Is this personal question? I wondering why you wearing something like that. I'm sure I don't recall what happened. Can I get you anything else gentlemen? Yes sweetheart I have rare condition which require me to drink one of those every 15 minutes, please. We were specifically adviced not to leave the country. So, we took our wives to Italy. We figure that we were safer working from over the seas, giving orders to Rugrat. Nobody could arrest us. And nobody could prove I was still running Stratton from a yacht. Hey, Rugrats bonjour, you bomheaded eagle, how you doing? Donnie, Donnie listen, we have a problem okay? Your friend Steve Madden is unloading shares.	jazz, instrumental, blues	genre---chillout, instrument---voice, instrument---strings	https://youtu.be/6OCrWScxtmA
Pitch Perfect 2	['Comedy', 'Music']	First 'Dated John Mayer' song at the riff off.	I'm afraid you've kissed that goodbye. No! Green Bay Packers... No, no, no! ...you gone! No! Let's see what the next category is! Oh. Yes! Oh! Oh, I was his personal assistant! Unfair! Come on. Yes, yep. We got this. Yeah, we got this. Get in there. Okay, then why don't we start with you, Das Sound Machine?	female vocalists, pop, rock	genre---popfolk, instrument---piano, genre---world	https://youtu.be/Cwkej79U3ek
Celeste & Jesse Forever	['Comedy', 'Drama', 'Romance']	Song as everyone dances in the wedding tent at night. Celeste smokes outside as fireworks start.	It's stupid. They're about to serve dinner. Okay. Wanna sit down? Yeah, yeah. See you on the dance floor, Celeste? Yeah. Do it, do it, do it. I love you, baby. I love you, baby. <i>Ooh, ooh, baby</i> <i>When we're out in the moonlight</i> <i>L0okin' up on the stars above Oh, baby</i> <i>Yes, oh, baby</i> <i>Yes, oh, baby</i> <i>Yes, oh, baby</i> <i>Sandy beach, I was makin' love</i>	pop, jazz, soul	genre---chillout, genre---popfolk, genre---ambient	https://youtu.be/ONIJXHvoynw
Bully	['Documentary']	Song during the end credits.	At this time, I'd like to release the balloons in honor of kids that have taken their lives from bullying throughout the United States and from other countries. Ryan Halliton. Montana Lance. Brandon Swartwood. Scott Wells. Ty Smalley. And the last one... ...is my son, which is very dear to me, is Tyler. Be the difference. Go out and find that one child	indie, rock, alternative	genre---popfolk, genre---orchestral, instrument---piano	https://youtu.be/WAbg4QPBUbM
A Cinderella Story	['Comedy', 'Family', 'Romance']	A trio plays as Sam and Austin dance in the gazebo; Austin gives Sam a rose as he asks his last question and agrees to see her again.	Oh, yeah? Say hello to act two, scene one. If I ask you to dance, does that count as a question? There's no music. So?	rock, pop, alternative	instrument---piano, genre---popfolk, genre---world	https://youtu.be/5qrTmNDZ-nc
The Intern	['Comedy', 'Drama']	Jules tracks down Ben getting the coffee orders and apologizes for having him transferred.	You know... I was thinking... We need some awake time together. Yeah, that, too. Morning. Good morning. I'm Doris. They asked me to drive you today. Are you all set back there? You got your seat belt fastened? What happened to Ben? Oh, somebody said that he got transferred.	indie, indie pop, indie rock	instrument---piano, genre---popfolk, genre---world	https://youtu.be/4HWcViTXdYc
The Hangover Part II	['Comedy']	The wolf pack toast on the beach before their big night. 	To Lauren and Stu! You did it, buddy. Sure did. Cheers!	Hip-Hop, rnb, electronic	instrument---guitar, instrument---strings, genre---poprock	https://youtu.be/dK2zzhgMlJA
Pirate Radio	['Comedy', 'Drama', 'Music']	Carl arrives on the boat. 	How much longer? No time at all. There she is. Where she is? There she is.	60s, oldies, classic rock	instrument---drummachine, instrument---piano, genre---orchestral	https://youtu.be/rb-bKKRl_hw
The Hateful Eight	['Crime', 'Drama', 'Mystery', 'Thriller', 'Western']	 O.B. Jackson drives the stagecoach across the snowy terrain.	"When I elbow you real hard in the face, that means ""shut up."" You got it? I got it. Get in there! Come on now, boys, get in! ♪ Hey, little apple blossom ♪ ♪ What seems to be the problem? ♪ ♪ All the ones you tell your troubles to ♪ ♪ They don't really care for you ♪ ♪ Come and tell me what you're thinking ♪ ♪ 'Cause just when the boat is sinking ♪ ♪ A little light is blinking ♪ ♪ And I will come and rescue you ♪ ♪ Lots of girls walk around in tears ♪"	indie, rock, indie rock	genre---popfolk, genre---orchestral, instrument---piano	https://youtu.be/g_Fn44ulanI
StreetDance 2	['Drama', 'Music', 'Romance']	Third song during end credits.	# Where the darkness I can find a light was shining bright # Cos I know when I go # When I go hard # There's nobody else on my level # When I go near, when I go far # It's over, over # Cos I came to shut it down # Until there ain't no trace of doubt # When I go in, when I go hard # There's nobody else on my level # When I go near, when I go far # It's over, over # Cos I'm here to shut it down # Until there ain't no trace of doubt # When I go in, when I go hard # It's over, over # RIZZLE KICKS: Mama Do The Hump # Mama, won't you please Mama, won't you please # Mama, won't you please # Mama, won't you please let me	Hip-Hop, dance, pop	instrument---guitar, instrument---strings, genre---popfolk	https://youtu.be/SxEINSBsbeo
About Time	['Comedy', 'Drama', 'Fantasy', 'Romance', 'Sci-Fi']	Tim meets Charlotte during the summer. 	Look what happened to Uncle Fred. What happened to Uncle Fred? Absolutely sod all. Wasted his life. You have to use it for things that you really think will make your life the way you want it to be. Come on, really think about this. Well, to be honest, I suppose, at the moment, it would be just great if it could help me get a girlfriend. Wow. Massive. Yeah. The mothership. <i>For me, it was always gonna be about love.</i> <i>And that summer I walked into the eye of the storm.</i> <i>Her name was Charlotte. Cousin of Kit Kat's</i> <i>handsome but nasty boyfriend Jimmy.</i> <i>And she was staying for two whole months.</i> Just one. Not both of them. Tim,	electronic, chillout, ambient	instrument---strings, genre---popfolk, genre---ambient	https://youtu.be/t989-ukRYTY
Jennifer's Body	['Comedy', 'Horror']	The first song that\'s playing at the school dance. Needy is walking around looking for Jennifer.	<i>And who cares divine intervention.</i> <i>I wanna be praised from a new perspective.</i> Okay, one more. Back to back. Big smiles. Chees-s-s-e.	rock, indie, alternative	instrument---piano, genre---popfolk, genre---world	https://youtu.be/LTh9IuSTOY0
Sausage Party	['Animation', 'Adventure', 'Comedy', 'Fantasy']	Druggie injects the bath salts in his arm.	♪ No, I won't do that ♪ ♪ I would do anything for love ♪ ♪ Anything you've been dreaming of ♪ ♪ But I just won't do that ♪ ♪ I would do anything for love ♪ ♪ Anything you've been dreaming of ♪ ♪ But I just won't do that ♪♪ [GRUNTING] Aah! [♪♪♪] [DOG BARKING IN DISTANCE] What is this place? [♪♪♪] [SCREAMS] [GROANS] DRUGGIE: Well, everybody told me not to do this. But fuck everybody. Because bath salts here I come!	rock, soul, classic rock	instrument---piano, genre---popfolk, genre---classical	https://youtu.be/0L1hD5OlPtw
Tomorrow, When the War Began	['Action', 'Adventure', 'Drama']	After Ellie's parents let her take the car for their getaway. Corrie goes to the batting nets to ask Kevin to come with them.	Make it a real adventure. Why Landrover? Why not the bikes? Or horses even. Like in an old fashioned camp out. That'd be fun. Guys, I'm not ten anymore. Besides, if there was an emergency, wouldn't you prefer that I had Landrover? I don't know, Ellie. It's a pretty big ask. Like it or not, dad, I'm turning 18 this year. Don't you think it's time I started showing initiative and... independence and all those other good things? C'mon. It's just a couple of days. What's the worst that could possibly happen? But the show is on this weekend. So what? Do you really care if your mom wins best decorated cake? Flip! <i>I always pictured Kevin in 20 years being president of the Show Society,</i> <i>and bringing up his 3 kids. Alright.</i> <i>With Corrie, if she got her way. Anything for you.</i> <i>And she usually did.</i>	rock, alternative, indie	instrument---piano, genre---popfolk, genre---downtempo	https://youtu.be/s-puVOJF5jQ
Date Night	['Comedy', 'Crime', 'Romance', 'Thriller']	During the car chase scene, when the audi is attached to the cab.	Okay, we need to get you off of us. We've got to go, Phil. We've gotta go right now! (SCREAMING) Okay. It's not working. Put yourjunk in reverse, asshole! -You put yourjunk in reverse! -You put yourjunk in reverse! -You put yourjunk in reverse! -CLAIRE: In reverse! God! No... (GRUNTING) Oh, snap! Somebody's pissed! -Phil! Phil! -Oh, God. Well, looks like you're coming with us.	electronic, Hip-Hop, indie	instrument---strings, genre---poprock, instrument---piano	https://youtu.be/mBTSG_Tryhc
50 First Dates	['Comedy', 'Drama', 'Romance']	"First song. Opening title scenes. Outlook onto Hawaiian sunset.
"	So tell me. How was Hawaii? It was unbelievable. Oh, yeah? Well, what happened? I met this guy. It was the best week of my life. It was just a little vacation romance. But he was so sweet. He took me to all these cool local places. We went scuba diving... Snorkeling. Mountain climbing. We went cliff diving. Well, we got a little drunk. He gave me... A back rub. We slow danced... ...in the rain. But it wasn't just about the sex. He pounded me like a mallard duck. It ended kind of weird, though. When I asked for his number, he said he's... Married. Gay.	folk, rock, country	genre---folk, instrument---piano, genre---trance	https://youtu.be/vci9CFFSEN0
Elysium	['Action', 'Drama', 'Sci-Fi']	Also used in opening scenes as Max walks to work.	<i>One day buy a ticket up to that place?</i> <i>That place is not for you, or for me.</i> But it's not fair, Sister. Why can't I go there? <i>Sometimes in life we don't understand...</i> ...why things are the way they are. <i>But I know one thing.</i> <i>I know you are special.</i> You will do something very important one day. <i>Something you were born for.</i> <i>My little Max.</i>	electronic, electro, electronica	instrument---strings, genre---pop, instrument---drums	https://youtu.be/dFyT_MtDsWQ
Yes Man	['Comedy', 'Romance']	Carl does another hit of hot sauce at the bar.	Very cool, Norm. I have been such a dick and a douche. More of a douche than a dick, probably... ...but I'm sorry. I should have been there. I mean, really. You're preaching to the choir, Carl. I'm telling you, man, things are different. Okay. Wait, so wait. You have to say yes to everything? Yeah, exactly. It's like you said: I wasn't open to stuff, and now I am... ...and things are changing for me. It's like the era of yes has begun. All right. Look, gets you out of the house, I'm all for it. Excuse me. Could we get another round of drinks? And actually, we're gonna start a tab... ...and our good friend here, Carl, will be taking care of it. Well, you're okay with that, right, buddy? Yes. Yes, I am. Okay. I should be prepping my case for Monday, but I cannot miss this.	indie, rock, indie rock	instrument---piano, genre---popfolk, genre---world	https://youtu.be/wB5Ga3W8HIs
The Package	['Comedy', 'Thriller']	Sean packs for his camping trip, while his mom chops up vegetables in the kitchen.	I love this belt. Only 30 minutes more TV. Okay, hon? This lamp. Sweet. Oh. Donnie's gonna be here any minute. Yeah. Whoa.	jazz, electronic, rock	instrument---strings, genre---popfolk, instrument---drums	https://youtu.be/-fneI-z8U_8
Nightcrawler	['Crime', 'Drama', 'Thriller']	Lou is sitting underneath a tree at a Los Angeles beach.	<i>MAN</i> 1: <i>(ON</i> TV) <i>You're entitled to fear and adequate compensation.</i> <i>MAN 2: (ON TV) We'll fight for you.</i> (PEOPLE CHEERING) MALE WOLF: (ON TV) <i>Potatoes!</i> FEMALE <i>WOLF: (ON TV) Okay, I give up-Potatoes!</i> <i>WOMAN: (ON TV) Any family would agree.</i> <i>Bird's Eye turns vegetables you want to serve</i> <i>into vegetables they want to eat.</i> <i>Bird's Eye.</i> <i>(BELL</i> DINGS <i>ON</i> TV) <i>Now, dinner is complete.</i> (THEME MUSIC PLAYING) <i>MALE ANNOUNCER: (ON TV) Live from the CBS broadcast center in Los Angeles.</i> <i>This is CBS2 News at 6:00</i> a.m. <i>Coverage you can count on.</i> <i>Good morning, everyone. Thanks for joining us. I'm Pat Harvey.</i> <i>Hope your day's getting off to a good start.</i> <i>I'm Kent Shocknek.</i> <i>An unclaimed Mega Millions ticket</i> <i>sold at a 7-Eleven in South San Diego</i> <i>is worth a whopping $266 million.</i> <i>The question is, is it yours? (LAUGHS)</i> <i>HARVEY: We'll have the numbers, coming up.</i> <i>Evidence has police hunting for one of their own.</i> <i>A fast-moving bank robber in Sylmar didn't move fast enough.</i> <i>And we'll explain how the FBI...</i>	Hip-Hop, electronic, pop	instrument---guitar, genre---popfolk, instrument---strings	https://youtu.be/h08GaOs-FY8
Take This Waltz	['Comedy', 'Drama']	Margot (Michelle Williams) and Lou (Seth Rogen) make breakfast before wrestling in the kitchen. 	"What What ""what""?"	female vocalists, indie, pop	genre---popfolk, instrument---strings, genre---classical	https://youtu.be/3ghEIa9MrQg
Eighth Grade	['Comedy', 'Drama']	Second song playing in Riley’s car as he drives Kayla home.	Yeah, we're, like, best friends. Really? Yeah. That's awesome. Kind of awkward talking when you're in the back seat. Yeah... Here, uh, hold on. Uh... Should I get in the front? No. No, no, no, it's all good. So... You excited about next year? Yeah, totally. Yeah. Totally. I mean, you should be. You're like the coolest freshman I've ever met, and you're not even a freshman yet. Thanks. It's crazy. Yeah. I mean, you should watch out for guys, definitely.	Hip-Hop, rnb, electronic	instrument---guitar, instrument---strings, genre---popfolk	https://youtu.be/o7E5P18KLLQ
Horns	['Comedy', 'Crime', 'Drama', 'Fantasy', 'Mystery', 'Thriller']	Ig arrives at a club where Terry's band is performing.	♪ ♪ Ig! Oh, Hey, Glenna. How's it going? How do you think it's going? Because it's going worse than that. (Burp) You all right? Whoa. Excuse me. I think I had something bad this morning.	rock, indie, punk	genre---popfolk, instrument---piano, genre---world	https://youtu.be/eTkVTsnhN1c
The Night Before	['Comedy', 'Fantasy']	Chris distracts the person bothering Issac so he can get away.	Oh, no. I'm sorry. I'm sorry. Are you okay? Hey, it's glass, man. Why you picking it up? I'm just trying to help out, man. Come on. Oh, shit! Holy shit! I'm sorry! The Jewish guy crucified the Messiah! It was rabbi dancing motherfucker! It's happening again! Ethan! Ethan! Diana! Congratulations! No! Stop congratulating me! What? What happened? Just go talk to Ethan. Shit. I'm sorry! I'm sorry! I think he's gonna be fine. Please, punch him in the face! I thought the Messiah preached forgiveness! Look at me, asshole. What the fuck wrong with you? Who the fuck are you? Hey. He's my friend! Back off, man! Yo! Back the fuck up, all right? Oh, shit just got real, huh? Yeah, go ahead and punch him, man.	dance, electronic, pop	instrument---strings, genre---indie, genre---pop	https://youtu.be/LPSC92vZ_VY
We Are Your Friends	['Drama', 'Music', 'Romance']	Credits, song #4.		dance, electronic, House	genre---alternative, instrument---strings, genre---pop	https://youtu.be/j6JSedxWLlg
We Bought a Zoo	['Comedy', 'Drama', 'Family']	The snakes escape out their box.	"Okay. Okay. <font color=""#bb00bb"">(KNOCKING AT DOOR) (SHRIEKS)</font> Hi. Hi. Look, am I nuts to say that I missed you like crazy a lot? A lot."	female vocalists, pop, indie	genre---house, instrument---drummachine, genre---popfolk	https://youtu.be/NW0fsvngcLI
Fireproof	['Drama', 'Fantasy', 'Romance']	Background music in cafe where Catherine and her friends are discussing Caleb.  (Part of a back-and-forth scene between Caleb and Catherine.)	All right. I'll tell you what. We're gonna go inside and get something to drink. You bring me a hose stretcher. All right. That's mean, man. No, it's good for him. Mother's gifts. Okay. And... You know what? I forgot to tell you. I got Friday off and I'll be there. Good. You know I ain't gonna let my son down. I know you won't. Hey, we still got that hot date tomorrow, right? Oh, so now it's a hot date? Life's too short to have any other kind. You're right. I love you, baby. I love you too. And I will see you in the morning. All right. Back home. All right, see you later. Eric, what are you doing? Wayne told me to grab a hose stretcher. A hose stretcher? Yes, sir. Eric, you are the hose stretcher.	pop, rock, female vocalists	genre---popfolk, instrument---piano, genre---easylistening	https://youtu.be/Wc9ANQx1Or0
Hancock	['Action', 'Fantasy']	Hancock is drawing at the bar when a woman approaches him and asks him for a ride.	<i>Initial damage estimates</i> <i>are said to top $9 million...</i> <i>... which, if accurate...</i> <i>... represents a personal record...</i> <i>... for the notoriously publicity-shy</i> <i>Hancock...</i> <i>... who, as usual,</i> <i>can't be reached for comment.</i> <i>With all the cracks to the concrete,</i> <i>all the bullets, water damage, fires...</i> <i>... L.A. would be better off</i> <i>if this guy would leave...</i> <i>... and let us get on with our jobs.</i> <i>He has never asked me for a badge</i> <i>and has never worked with us...</i> <i>... in any capacity whatsoever. Zero.</i> <i>Just do it somewhere else.</i> <i>New York, maybe.</i> <i>Let them suffer for a while.</i> <i>What the hell's the crane doing there?</i> <i>Move the...</i> <i>The crane's not gonna help!</i> <i>How are we supposed</i> <i>to get down?</i> I will break my foot off in your ass, woman. <i>This Hancock guy is surely</i> <i>on some kind of mission.</i> <i>And he's using our city to beat himself</i> <i>up for reasons known only to him.</i> <i>We'll have shots later</i> <i>from Chopper 1...</i> <i>... for the removal of the SUV</i> <i>from the landmark needle.</i>	blues, guitar, rock	instrument---drummachine, instrument---piano, genre---popfolk	https://youtu.be/qw-bvvDfAjs
Just Go with It	['Comedy', 'Romance']	Devlin tells Katherine she's breaking up with Ian. 	Good job! That's what I'm talking about. Whatever! Well, everything turned out pretty good for everybody. Squirt got to swim with the dolphins. Palmer met some tennis player her own age on the plane ride home, who's an even bigger fan of 'N Sync. And Maggie's about to start a three-week acting class with the actual Dolph Lundgren. And what happened for me? Well, I'm finally wearing my wedding ring for real. And now when women ask me about it, I'm gonna tell them I'm married to a woman who doesn't beat me, doesn't cheat on me, doesn't drink... Well, doesn't drink that much. And who I'm gonna spend the rest of my life with.	female vocalists, pop, chillout	genre---popfolk, instrument---strings, instrument---piano	https://youtu.be/yj5CCOzJ7nk
Roman J. Israel, Esq.	['Crime', 'Drama', 'Thriller']	In apartmemt plays a vinyl eats pb&amp;j 	<i>Please leave your name, contact telephone number</i> <i>and a Noise Enforcement Team officer</i> <i>will contact you as soon as possible.</i> <i>Thank you, and have a nice day.</i> <i>My name is Roman J. Israel, Esquire.</i>	jazz, experimental, instrumental	instrument---strings, genre---chillout, instrument---drums	https://youtu.be/OSIAwYUWOhQ
Nerve	['Adventure', 'Crime', 'Drama', 'Mystery', 'Thriller']	"After Vee leaves the cafe, after getting in a fight with her best friend Sydney, she takes her bike and goes home. During her ride the song ""Soap"" comes on with the audio on mute. Vee screams and checks her phone for messages her friends were sending."	"It's not for me, it's for a friend. Well, which friend? No, she's not my type. [laughing in background] You're not nearly as hot as you think you are. [Chuck] Yes, he is! [Sydney] And you are a douchebag. No, don't go, come on. [Sydney] Vee, Vee! Just let her go. Not cool, Sydney. I'm just trying to help her. Let's not help her. She'll figure it out. [♪ Melanie Martinez: ""Soap""] [phone beeps]"	pop, female vocalists, electronic	instrument---strings, genre---popfolk, instrument---guitar	https://youtu.be/eFU_wJes-xE
This Means War	['Action', 'Comedy', 'Romance']	Foster takes Lauren on their first date to a club. She walks out.	Wow. I wasn't sure if you were gonna show. I told you I could handle it. We'll see. Come on. Oh, I don't wanna lose my spot. Don't worry about it. After you. Go ahead. Let them through. Good to see you, buddy. How you doing? You'll gonna love this place, I swear. Hey, Ciera. How are you? I think you're enjoying yourself. You just have to loosen up. Get off the simmer. Nathaniel. What's up, baby? How you been? Look at you. Oh! You are shining like a bright light. You guys are here? Come on. All right, I gotta go say hi to the DJ. He knows me. Come on. Come on in. Come on. Come on. What's up? After you, my lady. '85 Veuve, Sammy.	dance, pop, Hip-Hop	instrument---strings, genre---popfolk, genre---indie	https://youtu.be/zQMly5fn3dg
Carrie	['Drama', 'Horror']	First song during end credits.	You would agree that you were under an enormous amount of stress. Isn't it possible that what you saw was a natural act? My boyfriend, most of my friends, died that night, but I know what I saw. <i>You want an explanation?</i> <i>Carrie had some sort of power,</i> <i>but she was just like me,</i> <i>like any of you.</i> <i>She had hopes and she had fears.</i> <i>And we pushed her.</i> <i>And you can only push someone so far</i> <i>before they break.</i>	indie, rock, alternative	instrument---piano, genre---easylistening, genre---downtempo	https://youtu.be/N1ARKA_sJg4
Newness	['Drama', 'Romance']	Gabi, Larry and his daughter visit the aquarium.	like these different little spots. Ah shit! Oh you're in fucking trouble now. Oh you're in so much trouble. Man down! No no no! Do you like my part? Yeah. This is a baby diary, day one.	ambient, electronic, chillout	genre---ambient, instrument---voice, genre---trance	https://youtu.be/HNetQupRJjo
Blitz	['Action', 'Crime', 'Thriller']	First song during end credits.	Something tells me this one's gonna remain unsolved. You're not supposed to smoke in here. What you gonna do? Shoot me? I'm just leaving the office now, darling. Yeah, I'll be back at 7:00. I love you too, Amanda. Yeah. There he is. There's Brecky. Fuck. Bon apptit. Get out! Get away!	electronic, rock, indie	instrument---strings, instrument---piano, genre---downtempo	https://youtu.be/6H5YZzPo01Y
Inglourious Basterds	['Adventure', 'Drama', 'War']	Frederick pesters Shoshanna at the cafe. 		instrumental, oldies, jazz	genre---atmospheric, genre---trance, genre---reggae	https://youtu.be/rVWOJuSKohg
Confessions of a Shopaholic	['Comedy', 'Romance']	Song plays during the end credits.	[speaking Finnish] Ahh... [speaks Finnish] <i>[Rebecca] And instead of</i> <i>a relationship with my credit card,</i> <i>I have a relationship</i> <i>with someone who loves me back.</i> <i>And never declines me.</i> Where do you get your moves? Who knows? It just comes naturally. Oh, you're right. It's a mystery.	pop, female vocalists, rnb	genre---popfolk, instrument---guitar, instrument---strings	https://youtu.be/erjJ_R_n2MI
End of Watch	['Action', 'Crime', 'Drama', 'Thriller']	Song at the wedding before Mike does his speech.	Boot, you hear me? Boot? Don't call her Boot, bro. Well, I don't know what her fucking name is! Is there a tag anywhere? Do you see a tag? No. You hearing me? She's nodding, dude, she's nodding, she hears me. You're gonna be okay, all right? Do you hear me? It's all good. It's all good. You're gonna be okay, brother. Fucking cut my vest off. God damn it, Taylor. I tell you one fucking thing! Fucking cut my vest off! All right, bro, we got your back. Jesus Christ! God damn it. Get back, brother, all right. You're good, bro. We got your back. They cut my fucking vest. They cut my fucking vest. What's up? You okay? Taylor, I'm really tired, dude. Why didn't you shoot that son of a bitch? You had him dead to rights. I just didn't feel like killing anyone tonight, Sarge. You feel like writing this up? Brass is gonna want clean paper, make sure all the logs match. Sarge, did you see that? Van H had a fucking <i>Ginsu</i> sticking out of his eye.	80s, rock, pop	instrument---piano, instrument---strings, genre---popfolk	https://youtu.be/HTTAPCUtbc8
She's Out of My League	['Comedy', 'Romance']	Stainer calls Patty to tell her to influence Molly and Kirk to get back together.	I'm not going! I'm not going! OK, this is not good. All right, I'm going. Whatever. Last call for flight four-four-three. Damn it! Last call for flight four-four-three. Hello? Hey, Patty. Who is this? Stainer. Don't hang up. How the fuck did you get my number? TSA. Moving on... No. no. no. Let's not move on. This better not be where you ask me out because you confused my hatred for you for some kind of flirtation. I thought I made myself clear. No, no, no, you were clear. We're good. 'Cause I genuinely hate you also. Oh, cool. Cool. And we're back to talking. All right. So, Kirk is leaving on a plane with another girl. Now, I tried to get him off, but they threw me off the plane! Stainer, your screw-up is not my problem. No, we both screwed up. We told them that it wasn't gonna work. They believed us. So now, unfortunately, I need your help.	indie, experimental, electronic	instrument---piano, genre---downtempo, genre---easylistening	https://youtu.be/BNikLPciCgY
