sentence	mood_roberta	prob_roberta	mood_word	prob_word
But none of those witnesses had until that day thought that there was any reason for connecting the more or less legendary figure of the Opera ghost with that terrible story.	neutral	[0.7029292  0.00321394 0.13312228 0.0028067  0.12853311 0.02939478]	scary	[0.         0.16505286 0.16073471 0.176006   0.18607758 0.16359214]
The truth was slow to enter my mind, puzzled by an inquiry that at every moment was complicated by events which, at first sight, might be looked upon as superhuman; and more than once I was within an ace of abandoning a task in which I was exhausting myself in the hopeless pursuit of a vain image.	neutral	[0.470678   0.04190685 0.12548305 0.11206274 0.19878481 0.05108454]	sad	[0.         0.16684885 0.15964339 0.17804006 0.16802046 0.17111937]
At last, I received the proof that my presentiments had not deceived me, and I was rewarded for all my efforts on the day when I acquired the certainty that the Opera ghost was more than a mere shade.	neutral	[0.32085803 0.05279338 0.18627031 0.11373378 0.22684892 0.0994956 ]	sad	[0.         0.16864242 0.16651051 0.17229411 0.16664214 0.16972811]
"On that day, I had spent long hours over THE MEMOIRS OF A MANAGER, the light and frivolous work of the too-skeptical Moncharmin, who, during his term at the Opera, understood nothing of the mysterious behavior of the ghost and who was making all the fun of it that he could at the very moment when he became the first victim of the curious financial operation that went on inside the ""magic envelope."""	neutral	[0.7471067  0.0459279  0.07536477 0.02833392 0.05004797 0.05321878]	scary	[0.         0.16926605 0.16263502 0.17519282 0.18038172 0.16125703]
I had just left the library in despair, when I met the delightful acting-manager of our National Academy, who stood chatting on a landing with a lively and well-groomed little old man, to whom he introduced me gaily.	neutral	[0.74598414 0.21497624 0.01304827 0.01517896 0.00163932 0.00917315]	sad	[0.         0.1734838  0.15348113 0.1930233  0.17826308 0.16217104]
The acting-manager knew all about my investigations and how eagerly and unsuccessfully I had been trying to discover the whereabouts of the examining magistrate in the famous Chagny case, M. Faure.	neutral	[0.909218   0.01020341 0.02261239 0.0139901  0.0221947  0.02178145]	sad	[0.         0.16238989 0.17111859 0.18077207 0.16209636 0.16439309]
Nobody knew what had become of him, alive or dead; and here he was back from Canada, where he had spent fifteen years, and the first thing he had done, on his return to Paris, was to come to the secretarial offices at the Opera and ask for a free seat.	neutral	[0.7054897  0.14834948 0.0929364  0.00980268 0.00910938 0.03431242]	happy	[0.         0.17568517 0.15952842 0.16878387 0.17065835 0.16233283]
The little old man was M. Faure himself.	neutral	[0.9372302  0.04341895 0.0049478  0.00272537 0.00228185 0.00939584]	neutral	[0. 0. 0. 0. 0. 0.]
We spent a good part of the evening together and he told me the whole Chagny case as he had understood it at the time.	neutral	"[8.26431036e-01 1.55896932e-01 1.84969255e-03 1.54901696e-02
 1.04846746e-04 2.27366399e-04]"	happy	[0.         0.18573458 0.1617377  0.17319189 0.17131462 0.1550509 ]
He was bound to conclude in favor of the madness of the viscount and the accidental death of the elder brother, for lack of evidence to the contrary; but he was nevertheless persuaded that a terrible tragedy had taken place between the two brothers in connection with Christine Daae.	angry	[0.32079625 0.0071239  0.01592635 0.2548998  0.03989732 0.36135638]	sad	[0.         0.16473226 0.15955165 0.18262839 0.17295775 0.17046356]
He could not tell me what became of Christine or the viscount.	neutral	[0.6815368  0.01368516 0.04869869 0.10491997 0.09464058 0.05651879]	neutral	[0. 0. 0. 0. 0. 0.]
When I mentioned the ghost, he only laughed.	neutral	[0.64473134 0.02474482 0.09443273 0.02608541 0.0548082  0.15519747]	scary	[0.         0.16287714 0.14930457 0.18134766 0.19361588 0.16751011]
He, too, had been told of the curious manifestations that seemed to point to the existence of an abnormal being, residing in one of the most mysterious corners of the Opera, and he knew the story of the envelope; but he had never seen anything in it worthy of his attention as magistrate in charge of the Chagny case, and it was as much as he had done to listen to the evidence of a witness who appeared of his own accord and declared that he had often met the ghost.	neutral	[0.9431165  0.01772621 0.01639297 0.00434579 0.01434725 0.00407139]	scary	[0.         0.16507104 0.16588495 0.17273702 0.17318417 0.16777338]
"This witness was none other than the man whom all Paris called the ""Persian"" and who was well-known to every subscriber to the Opera."	neutral	[0.6967046  0.26581728 0.0135233  0.01580206 0.00258449 0.00556829]	sad	[0.         0.15679692 0.16142607 0.1762688  0.17409952 0.17290221]
The magistrate took him for a visionary.	neutral	[0.90641266 0.03667966 0.03840577 0.00185522 0.0048861  0.01176061]	sad	[0.         0.16564298 0.16674404 0.17429403 0.16801384 0.16100983]
I was immensely interested by this story of the Persian.	neutral	[0.6355607  0.14586478 0.06209214 0.03613666 0.0284392  0.09190651]	surprised	[0.         0.18579465 0.19144632 0.15412105 0.1548629  0.16122046]
I wanted, if there were still time, to find this valuable and eccentric witness.	neutral	[0.80687845 0.07426666 0.05286261 0.02267803 0.0149839  0.02833036]	scary	[0.         0.16743398 0.1633843  0.17239563 0.17530225 0.16803963]
My luck began to improve and I discovered him in his little flat in the Rue de Rivoli, where he had lived ever since and where he died five months after my visit.	neutral	[0.66613984 0.18466744 0.04966949 0.06022648 0.01374946 0.02554728]	sad	[0.         0.17537288 0.16962025 0.17780704 0.16228468 0.16320567]
I was at first inclined to be suspicious; but when the Persian had told me, with child-like candor, all that he knew about the ghost and had handed me the proofs of the ghost's existence--including the strange correspondence of Christine Daae--to do as I pleased with, I was no longer able to doubt.	neutral	[0.5971932  0.22876921 0.0994198  0.02999911 0.01584037 0.02877832]	happy	[0.         0.17521449 0.17317085 0.17241803 0.16732297 0.16789623]
No, the ghost was not a myth!	surprised	[0.28657633 0.0361611  0.5102128  0.00748381 0.14394908 0.01561691]	scary	[0.         0.16287714 0.14930457 0.18134766 0.19361588 0.16751011]
I have, I know, been told that this correspondence may have been forged from first to last by a man whose imagination had certainly been fed on the most seductive tales; but fortunately I discovered some of Christine's writing outside the famous bundle of letters and, on a comparison between the two, all my doubts were removed.	neutral	[0.65587455 0.07935863 0.03883965 0.03875161 0.03110323 0.1560724 ]	angry	[0.         0.16653879 0.16741069 0.16524995 0.17069873 0.17432227]
I also went into the past history of the Persian and found that he was an upright man, incapable of inventing a story that might have defeated the ends of justice.	neutral	[0.62124276 0.01846278 0.01007861 0.00464686 0.0036058  0.34196317]	sad	[0.         0.16840853 0.16732226 0.16972996 0.16278227 0.16535125]
This, moreover, was the opinion of the more serious people who, at one time or other, were mixed up in the Chagny case, who were friends of the Chagny family, to whom I showed all my documents and set forth all my inferences.	neutral	"[9.7693300e-01 4.6257856e-03 5.2699214e-04 4.1197264e-04 3.3115083e-04
 1.7171185e-02]"	sad	[0.         0.17818228 0.16303429 0.17983248 0.16340048 0.16613869]
In this connection, I should like to print a few lines which I received from General D----:  SIR:  I can not urge you too strongly to publish the results of your inquiry.	neutral	[0.8928065  0.07981575 0.00708015 0.00393152 0.00115181 0.01521429]	angry	[0.         0.16717954 0.16508104 0.16977162 0.16555472 0.17061623]
"I remember perfectly that, a few weeks before the disappearance of that great singer, Christine Daae, and the tragedy which threw the whole of the Faubourg Saint-Germain into mourning, there was a great deal of talk, in the foyer of the ballet, on the subject of the ""ghost;"" and I believe that it only ceased to be discussed in consequence of the later affair that excited us all so greatly."	sad	[0.14040424 0.07566888 0.10361388 0.3276089  0.21245694 0.14024714]	sad	[0.         0.17707324 0.16140027 0.1887118  0.16860091 0.16587172]
But, if it be possible--as, after hearing you, I believe--to explain the tragedy through the ghost, then I beg you sir, to talk to us about the ghost again.	neutral	[0.8024091  0.01502483 0.02542793 0.02609377 0.01543722 0.11560709]	sad	[0.         0.16489385 0.15980849 0.18076232 0.17231477 0.17463697]
Mysterious though the ghost may at first appear, he will always be more easily explained than the dismal story in which malevolent people have tried to picture two brothers killing each other who had worshiped each other all their lives.	scary	[0.2097439  0.05554307 0.20597056 0.09009126 0.27615696 0.16249424]	scary	[0.         0.15905616 0.15371204 0.17682076 0.18522913 0.17429873]
Believe me, etc.	neutral	[0.83987385 0.05900287 0.0267909  0.02223847 0.02259285 0.02950104]	neutral	[0. 0. 0. 0. 0. 0.]
Lastly, with my bundle of papers in hand, I once more went over the ghost's vast domain, the huge building which he had made his kingdom.	neutral	[0.85383534 0.05690237 0.02508303 0.0064788  0.00748779 0.05021264]	neutral	[0. 0. 0. 0. 0. 0.]
All that my eyes saw, all that my mind perceived, corroborated the Persian's documents precisely; and a wonderful discovery crowned my labors in a very definite fashion.	neutral	"[5.4923987e-01 4.4889748e-01 1.6879810e-03 1.5760097e-04 1.0463283e-06
 1.5997119e-05]"	sad	[0.         0.17766761 0.16100158 0.17834215 0.17766329 0.15292   ]
It will be remembered that, later, when digging in the substructure of the Opera, before burying the phonographic records of the artist's voice, the workmen laid bare a corpse.	neutral	[0.73817116 0.03775723 0.03751873 0.10356759 0.0601867  0.0227987 ]	sad	[0.         0.15843842 0.16084734 0.17893957 0.17026261 0.17180238]
Well, I was at once able to prove that this corpse was that of the Opera ghost.	neutral	[0.7407414  0.03254193 0.10138633 0.01101111 0.06459553 0.04972372]	sad	[0.         0.16000157 0.15699921 0.17984793 0.17782401 0.17046308]
I made the acting-manager put this proof to the test with his own hand; and it is now a matter of supreme indifference to me if the papers pretend that the body was that of a victim of the Commune.	neutral	[0.4592108  0.020832   0.04866403 0.01094862 0.02094411 0.43940052]	sad	[0.         0.16166206 0.1691746  0.17649624 0.16682493 0.1709231 ]
The wretches who were massacred, under the Commune, in the cellars of the Opera, were not buried on this side; I will tell where their skeletons can be found in a spot not very far from that immense crypt which was stocked during the siege with all sorts of provisions.	neutral	[0.7454398  0.01737227 0.08024386 0.03036671 0.0965265  0.03005081]	sad	[0.         0.16216794 0.1683247  0.16954633 0.16938757 0.16407577]
I came upon this track just when I was looking for the remains of the Opera ghost, which I should never have discovered but for the unheard-of chance described above.	neutral	[0.94594294 0.00309234 0.02026724 0.00378232 0.02188881 0.00502625]	scary	[0.         0.17167544 0.1612998  0.17196372 0.17359602 0.1605034 ]
But we will return to the corpse and what ought to be done with it.	neutral	[0.9496355  0.0160324  0.01149203 0.0062284  0.00739796 0.00921375]	sad	[0.         0.15650239 0.16053574 0.18029831 0.17098073 0.17482351]
For the present, I must conclude this very necessary introduction by thanking M. Mifroid (who was the commissary of police called in for the first investigations after the disappearance of Christine Daae), M. Remy, the late secretary, M. Mercier, the late acting-manager, M. Gabriel, the late chorus-master, and more particularly Mme.	neutral	[0.74479854 0.15795799 0.0416245  0.02775172 0.01245713 0.01541013]	angry	[0.         0.1710048  0.16962534 0.16842069 0.16024173 0.17265546]
"la Baronne de Castelot-Barbezac, who was once the ""little Meg"" of the story (and who is not ashamed of it), the most charming star of our admirable corps de ballet, the eldest daughter of the worthy Mme."	neutral	[0.9223885  0.05937261 0.00692898 0.0069195  0.00245276 0.00193769]	sad	[0.         0.17518886 0.16767029 0.17763559 0.16611312 0.16297261]
Giry, now deceased, who had charge of the ghost's private box.	neutral	[0.9257614  0.01553718 0.01590866 0.03318744 0.00766741 0.00193792]	sad	[0.         0.17137295 0.15652794 0.18439274 0.15522954 0.17849713]
All these were of the greatest assistance to me; and, thanks to them, I shall be able to reproduce those hours of sheer love and terror, in their smallest details, before the reader's eyes.	happy	[0.3474647  0.5755993  0.00776217 0.06692621 0.00101303 0.00123456]	sad	[0.         0.17573887 0.15855253 0.17762804 0.17386434 0.16744956]
And I should be ungrateful indeed if I omitted, while standing on the threshold of this dreadful and veracious story, to thank the present management the Opera, which has so kindly assisted me in all my inquiries, and M. Messager in particular, together with M. Gabion, the acting-manager, and that most amiable of men, the architect intrusted with the preservation of the building, who did not hesitate to lend me the works of Charles Garnier, although he was almost sure that I would never return them to him.	neutral	[0.666596   0.1399652  0.07255243 0.02751865 0.03501426 0.05835348]	sad	[0.         0.17183208 0.15582    0.17731433 0.16719889 0.17004481]
Lastly, I must pay a public tribute to the generosity of my friend and former collaborator, M. J.	neutral	[0.78158903 0.17012715 0.01439569 0.01919504 0.0020225  0.01267063]	sad	[0.         0.16850648 0.16444848 0.17655987 0.16086533 0.17118807]
Le Croze, who allowed me to dip into his splendid theatrical library and to borrow the rarest editions of books by which he set great store.	neutral	"[9.7854483e-01 1.6433310e-02 9.1897725e-04 3.3830940e-03 1.4359101e-04
 5.7621021e-04]"	happy	[0.         0.17499985 0.16703026 0.17283762 0.1701659  0.1573449 ]
GASTON LEROUX.	neutral	[0.7303492  0.02555963 0.05854022 0.00534156 0.01147586 0.1687336 ]	neutral	[0. 0. 0. 0. 0. 0.]
Chapter I  Is it the Ghost?	neutral	"[9.6069950e-01 8.1292854e-04 1.5300340e-02 3.0912127e-04 2.1118343e-02
 1.7597394e-03]"	scary	[0.         0.16287714 0.14930457 0.18134766 0.19361588 0.16751011]
It was the evening on which MM.	neutral	[0.92390555 0.02931204 0.02360389 0.0011424  0.00674154 0.01529455]	neutral	[0. 0. 0. 0. 0. 0.]
Debienne and Poligny, the managers of the Opera, were giving a last gala performance to mark their retirement.	happy	"[1.3797468e-01 8.5095549e-01 1.1286994e-03 9.7950958e-03 3.2382854e-05
 1.1363826e-04]"	sad	[0.         0.17080908 0.16174611 0.17347447 0.16701517 0.1652245 ]
"Suddenly the dressing-room of La Sorelli, one of the principal dancers, was invaded by half-a-dozen young ladies of the ballet, who had come up from the stage after ""dancing"" Polyeucte."	neutral	[0.6988075  0.15626766 0.05943294 0.00788301 0.00731377 0.07029512]	scary	[0.         0.1673114  0.16354581 0.17015501 0.17632207 0.17406102]
They rushed in amid great confusion, some giving vent to forced and unnatural laughter, others to cries of terror.	surprised	[0.11109813 0.07636347 0.30367225 0.09090982 0.2537178  0.16423851]	angry	[0.         0.16534805 0.15887234 0.16701602 0.17104236 0.17908044]
"Sorelli, who wished to be alone for a moment to ""run through"" the speech which she was to make to the resigning managers, looked around angrily at the mad and tumultuous crowd."	neutral	[0.60038996 0.02830858 0.08567515 0.00990683 0.01726302 0.25845644]	angry	[0.         0.16976759 0.15985518 0.17115477 0.17095697 0.17866067]
"It was little Jammes--the girl with the tip-tilted nose, the forget-me-not eyes, the rose-red cheeks and the lily-white neck and shoulders--who gave the explanation in a trembling voice:  ""It's the ghost!"""	neutral	[0.5122783  0.28389907 0.1278667  0.0249412  0.02398081 0.02703391]	scary	[0.         0.15891772 0.15656428 0.17436137 0.18434805 0.17757717]
And she locked the door.	neutral	[0.8011757  0.07460713 0.03711076 0.02128752 0.01426705 0.05155182]	neutral	[0. 0. 0. 0. 0. 0.]
Sorelli's dressing-room was fitted up with official, commonplace elegance.	neutral	"[9.3163735e-01 6.5193281e-02 2.5458543e-03 5.6154112e-04 2.5769232e-05
 3.6221623e-05]"	sad	[0.         0.16342984 0.16210649 0.17551082 0.17142439 0.1635234 ]
A pier-glass, a sofa, a dressing-table and a cupboard or two provided the necessary furniture.	neutral	"[9.8232150e-01 9.0970397e-03 2.6041560e-03 3.1766172e-03 1.8939581e-03
 9.0679742e-04]"	neutral	[0. 0. 0. 0. 0. 0.]
On the walls hung a few engravings, relics of the mother, who had known the glories of the old Opera in the Rue le Peletier; portraits of Vestris, Gardel, Dupont, Bigottini.	neutral	"[7.0518410e-01 2.9343104e-01 5.1098317e-04 8.0086460e-04 1.4229208e-06
 7.1596463e-05]"	sad	[0.         0.16403971 0.16191287 0.1835075  0.16377674 0.17163354]
But the room seemed a palace to the brats of the corps de ballet, who were lodged in common dressing-rooms where they spent their time singing, quarreling, smacking the dressers and hair-dressers and buying one another glasses of cassis, beer, or even rhum, until the call-boy's bell rang.	neutral	[0.91912264 0.02578452 0.04015369 0.00122936 0.00772652 0.00598333]	happy	[0.         0.17620878 0.16662498 0.16997633 0.16824112 0.16885574]
Sorelli was very superstitious.	neutral	[0.7942928  0.02299822 0.1004354  0.00737345 0.03739651 0.03750366]	happy	[0.         0.17934206 0.17199566 0.17062522 0.1734595  0.1702833 ]
"She shuddered when she heard little Jammes speak of the ghost, called her a ""silly little fool"" and then, as she was the first to believe in ghosts in general, and the Opera ghost in particular, at once asked for details:  ""Have you seen him?"""	surprised	[0.22071944 0.22640052 0.30280286 0.02791724 0.07727227 0.14488764]	scary	[0.         0.16270283 0.15738942 0.175991   0.18090914 0.16738908]
"""As plainly as I see you now!"""	angry	[0.3275049  0.01753667 0.12931474 0.04515713 0.10204791 0.37843862]	neutral	[0. 0. 0. 0. 0. 0.]
said little Jammes, whose legs were giving way beneath her, and she dropped with a moan into a chair.	sad	[0.2601584  0.01941021 0.00980956 0.635684   0.06431723 0.01062059]	happy	[0.         0.17545961 0.15786913 0.17254792 0.16337924 0.17357519]
"Thereupon little Giry--the girl with eyes black as sloes, hair black as ink, a swarthy complexion and a poor little skin stretched over poor little bones--little Giry added:  ""If that's the ghost, he's very ugly!"""	neutral	[0.33044308 0.12702124 0.14804456 0.12762064 0.22859146 0.03827903]	scary	[0.         0.15701717 0.14942436 0.17982126 0.18353907 0.17715531]
"""Oh, yes!"""	neutral	[0.62238795 0.11792923 0.10785449 0.02764607 0.03778198 0.08640028]	neutral	[0. 0. 0. 0. 0. 0.]
cried the chorus of ballet-girls.	neutral	[0.6415205  0.14771117 0.09466155 0.02160744 0.03898611 0.05551317]	angry	[0.         0.16473628 0.1682058  0.18632508 0.16200199 0.19066766]
And they all began to talk together.	neutral	[0.49472624 0.4260554  0.06056529 0.01311509 0.00211781 0.00342011]	happy	[0.         0.19377186 0.15812181 0.16767916 0.16664215 0.15289447]
The ghost had appeared to them in the shape of a gentleman in dress-clothes, who had suddenly stood before them in the passage, without their knowing where he came from.	neutral	[0.5460355  0.00673479 0.34957573 0.00186934 0.09392007 0.00186449]	scary	[0.         0.16313218 0.16205842 0.1761864  0.17850658 0.17086595]
He seemed to have come straight through the wall.	neutral	[0.7369553  0.02029629 0.09167039 0.02323302 0.09184086 0.03600417]	neutral	[0. 0. 0. 0. 0. 0.]
"""Pooh!"""	neutral	[0.5885769  0.0681412  0.12109082 0.03127112 0.06817097 0.12274898]	neutral	[0. 0. 0. 0. 0. 0.]
said one of them, who had more or less kept her head.	neutral	[0.71035695 0.07547761 0.10858352 0.02864751 0.03973471 0.03719976]	scary	[0.         0.16568632 0.16727108 0.15692604 0.17864077 0.16338141]
"""You see the ghost everywhere!"""	neutral	[0.46681285 0.01739402 0.14926407 0.01111856 0.08573849 0.26967204]	scary	[0.         0.16287714 0.14930457 0.18134766 0.19361588 0.16751011]
And it was true.	neutral	"[9.5248413e-01 2.7199561e-02 2.6263702e-03 7.5542526e-03 8.7270787e-04
 9.2629362e-03]"	scary	[0.         0.16688201 0.16438997 0.18299915 0.18391287 0.14312497]
For several months, there had been nothing discussed at the Opera but this ghost in dress-clothes who stalked about the building, from top to bottom, like a shadow, who spoke to nobody, to whom nobody dared speak and who vanished as soon as he was seen, no one knowing how or where.	neutral	[0.55677485 0.02303312 0.08176778 0.01941088 0.02551767 0.29349568]	scary	[0.         0.1662456  0.16289605 0.16978761 0.17767259 0.16267925]
As became a real ghost, he made no noise in walking.	neutral	[0.73802036 0.02369244 0.10599615 0.02054071 0.09016228 0.02158804]	scary	[0.         0.1682847  0.1529976  0.17486897 0.19195966 0.1640803 ]
People began by laughing and making fun of this specter dressed like a man of fashion or an undertaker; but the ghost legend soon swelled to enormous proportions among the corps de ballet.	neutral	[0.8054607  0.00784059 0.09880687 0.00140853 0.03416111 0.05232217]	scary	[0.         0.16713703 0.15954064 0.17514869 0.18638565 0.1632597 ]
All the girls pretended to have met this supernatural being more or less often.	neutral	[0.9253693  0.02346054 0.03259934 0.00133205 0.00537423 0.01186452]	scary	[0.         0.16568632 0.16727108 0.15692604 0.17864077 0.16338141]
And those who laughed the loudest were not the most at ease.	happy	[0.20190158 0.34132126 0.18770815 0.08306621 0.10168421 0.08431857]	happy	[0.         0.17504776 0.17499039 0.1508575  0.16128818 0.16106777]
When he did not show himself, he betrayed his presence or his passing by accident, comic or serious, for which the general superstition held him responsible.	neutral	[0.6397734  0.01265159 0.13072185 0.00877302 0.14786735 0.06021279]	sad	[0.         0.16558335 0.168535   0.17425373 0.1645407  0.17126022]
Had any one met with a fall, or suffered a practical joke at the hands of one of the other girls, or lost a powderpuff, it was at once the fault of the ghost, of the Opera ghost.	neutral	[0.48272336 0.00823102 0.1255822  0.00723381 0.09408415 0.28214547]	scary	[0.         0.16246568 0.16305283 0.17423695 0.17482094 0.16751437]
After all, who had seen him?	neutral	[0.87186474 0.00585542 0.05746183 0.00248246 0.02599961 0.03633602]	neutral	[0. 0. 0. 0. 0. 0.]
You meet so many men in dress-clothes at the Opera who are not ghosts.	neutral	[0.84549755 0.00738548 0.08243317 0.00242871 0.05386164 0.00839343]	sad	[0.         0.16037565 0.16113668 0.17756589 0.16952348 0.16880952]
But this dress-suit had a peculiarity of its own.	neutral	[0.90683204 0.03533471 0.03663302 0.00124347 0.00735251 0.01260428]	neutral	[0. 0. 0. 0. 0. 0.]
It covered a skeleton.	neutral	[0.88266474 0.01619373 0.03243354 0.00875049 0.01933293 0.04062456]	neutral	[0. 0. 0. 0. 0. 0.]
At least, so the ballet-girls said.	neutral	"[8.9387637e-01 9.3271919e-03 5.8876039e-03 2.9996436e-04 8.7970303e-04
 8.9729138e-02]"	neutral	[0. 0. 0. 0. 0. 0.]
And, of course, it had a death's head.	neutral	[0.9037525  0.01797642 0.02375026 0.00546039 0.02441846 0.024642  ]	neutral	[0. 0. 0. 0. 0. 0.]
Was all this serious?	neutral	[0.83601457 0.01161366 0.0550426  0.02748132 0.0447305  0.02511727]	neutral	[0. 0. 0. 0. 0. 0.]
The truth is that the idea of the skeleton came from the description of the ghost given by Joseph Buquet, the chief scene-shifter, who had really seen the ghost.	neutral	[0.9215321  0.00474247 0.02837192 0.00428067 0.03953515 0.00153771]	scary	[0.         0.16180272 0.15350172 0.18485426 0.18717777 0.16636379]
"He had run up against the ghost on the little staircase, by the footlights, which leads to ""the cellars."""	neutral	[0.6544355  0.01434505 0.07155075 0.00405314 0.04665992 0.20895568]	scary	[0.         0.16851694 0.15876696 0.17199353 0.18182354 0.16609093]
"He had seen him for a second--for the ghost had fled--and to any one who cared to listen to him he said:  ""He is extraordinarily thin and his dress-coat hangs on a skeleton frame."	neutral	[0.28051773 0.07992288 0.16148214 0.16108613 0.26684597 0.05014515]	scary	[0.         0.16287714 0.14930457 0.18134766 0.19361588 0.16751011]
His eyes are so deep that you can hardly see the fixed pupils.	neutral	[0.84841704 0.05321223 0.03255019 0.01550079 0.01808566 0.03223406]	happy	[0.         0.16958812 0.1651596  0.15546287 0.16235606 0.16212772]
You just see two big black holes, as in a dead man's skull.	neutral	[0.73751944 0.04908871 0.04632235 0.03873448 0.04133999 0.08699506]	angry	[0.         0.15686747 0.15440331 0.17580988 0.17196454 0.1805161 ]
His skin, which is stretched across his bones like a drumhead, is not white, but a nasty yellow.	neutral	[0.67189807 0.05968123 0.0833626  0.03773586 0.05594472 0.09137747]	scary	[0.         0.16367715 0.15597058 0.17070566 0.18861705 0.1719065 ]
His nose is so little worth talking about that you can't see it side-face; and THE ABSENCE of that nose is a horrible thing TO LOOK AT.	neutral	[0.57862955 0.02053418 0.04607036 0.00085092 0.00483135 0.34908366]	scary	[0.         0.16016755 0.15550203 0.17783497 0.17869589 0.17001946]
